name,team_id,team,element_type,position,cost,form,points_per_game,total_points,official_chance,official_availablity,selected_by_percent,transfers_in_event,transfers_out_event,gw_24_xp,gw_24_prob_of_appearing,gw_25_xp,gw_25_prob_of_appearing,gw_26_xp,gw_26_prob_of_appearing,gw_27_xp,gw_27_prob_of_appearing,gw_28_xp,gw_28_prob_of_appearing,gw_29_xp,gw_29_prob_of_appearing,gw_30_xp,gw_30_prob_of_appearing,gw_31_xp,gw_31_prob_of_appearing,gw_32_xp,gw_32_prob_of_appearing,gw_33_xp,gw_33_prob_of_appearing,gw_34_xp,gw_34_prob_of_appearing,gw_35_xp,gw_35_prob_of_appearing,gw_36_xp,gw_36_prob_of_appearing,gw_37_xp,gw_37_prob_of_appearing,gw_38_xp,gw_38_prob_of_appearing
Francis-Clarke,12,LUT,2,DEF,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krul,12,LUT,1,GKP,4.4,0.0,0.0,0,,Available,0.0,76,51,3.39511,0.06,6.81874,0.06,0.0,0.0,3.26099,0.06,3.3023,0.06,3.55622,0.06,3.27995,0.06,3.20584,0.06,3.31176,0.06,2.85708,0.06,3.17022,0.06,3.40543,0.06,3.45878,0.06,3.05799,0.06,3.66648,0.06
Johnson,12,LUT,2,DEF,4.0,0.0,0.0,0,,Available,0.0,54,56,1.9011,0.001,2.54523,0.001,0.0,0.0,1.50165,0.001,1.63392,0.001,1.74387,0.001,1.24993,0.001,1.12679,0.001,1.65945,0.001,1.05726,0.001,1.64196,0.001,1.6109,0.001,1.75514,0.001,1.34796,0.001,1.71197,0.001
Townsend,12,LUT,3,MID,5.0,1.0,3.2,42,,Available,0.1,377,1311,2.85454,0.76989,5.58884,0.76989,0.0,0.0,2.85336,0.76989,2.81872,0.76989,3.05903,0.76989,2.84404,0.76989,2.72376,0.76989,3.1163,0.76989,2.64301,0.76989,2.97329,0.76989,2.89041,0.76989,3.04591,0.76989,2.84769,0.76989,3.08859,0.76989
Luker,12,LUT,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nelson,12,LUT,3,MID,4.5,0.0,0.0,0,,Available,0.0,41,24,1.35632,0.01074,2.59993,0.01074,0.0,0.0,1.29851,0.01074,1.28625,0.01074,1.37134,0.01074,1.29521,0.01074,1.25262,0.01074,1.39162,0.01074,1.22403,0.01074,1.34098,0.01074,1.31163,0.01074,1.36669,0.01074,1.2965,0.01074,1.3818,0.01074
Hashioka,12,LUT,2,DEF,4.0,0.0,0.0,0,,Available,0.0,51,11,2.17897,0.39405,3.01415,0.39405,0.0,0.0,1.75193,0.39405,1.89334,0.39405,2.01088,0.39405,1.48282,0.39405,1.35117,0.39405,1.92063,0.39405,1.27684,0.39405,1.90194,0.39405,1.86873,0.39405,2.02294,0.39405,1.58762,0.39405,1.97678,0.39405
Akanji,13,MCI,2,DEF,4.9,0.0,3.3,49,100.0,Available,4.0,1105,7900,3.87602,0.46776,6.70041,0.46776,3.47701,0.46776,3.52647,0.46776,2.25226,0.46776,2.94422,0.46776,3.17854,0.46776,3.35965,0.46776,3.63126,0.46776,4.02008,0.46776,2.84279,0.46776,3.82664,0.46776,3.64965,0.46776,3.44645,0.46776,3.60915,0.46776
Aké,13,MCI,2,DEF,5.0,1.7,3.3,59,100.0,Available,6.2,11501,10287,4.06963,0.89381,7.17445,0.89381,3.8446,0.89381,3.92641,0.89381,2.51189,0.89381,3.28004,0.89381,3.54016,0.89381,3.74121,0.89381,4.04273,0.89381,4.47437,0.89381,3.16744,0.89381,4.25963,0.89381,4.06315,0.89381,3.83758,0.89381,4.01819,0.89381
J.Alvarez,13,MCI,4,FWD,6.9,5.7,5.2,114,,Available,32.1,35692,138558,4.9177,0.94118,8.97189,0.94118,4.49765,0.94118,4.59389,0.94118,4.09425,0.94118,4.49608,0.94118,4.20584,0.94118,4.51178,0.94118,4.25835,0.94118,5.37293,0.94118,4.76642,0.94118,4.57596,0.94118,4.69454,0.94118,4.67338,0.94118,4.78529,0.94118
Bernardo,13,MCI,3,MID,6.5,3.3,5.1,91,100.0,Available,4.6,6564,33320,3.92192,0.82521,7.59897,0.82521,3.77735,0.82521,3.9549,0.82521,3.47162,0.82521,3.66681,0.82521,3.668,0.82521,3.70656,0.82521,3.64999,0.82521,3.82826,0.82521,3.69134,0.82521,3.90068,0.82521,3.92323,0.82521,3.76243,0.82521,3.90332,0.82521
Bobb,13,MCI,3,MID,4.4,2.7,2.9,20,,Available,0.1,316,527,1.76341,0.30549,3.30323,0.30549,1.60916,0.30549,1.66034,0.30549,1.49669,0.30549,1.56278,0.30549,1.56318,0.30549,1.57624,0.30549,1.55709,0.30549,1.61745,0.30549,1.57109,0.30549,1.64198,0.30549,1.64961,0.30549,1.59516,0.30549,1.64287,0.30549
Cancelo,13,MCI,2,DEF,5.8,0.0,0.0,0,0.0,Unavailable,1.0,0,137,4.47254,0.0,7.23065,0.0,3.49178,0.0,2.30287,0.0,3.10342,0.0,3.6629,0.0,3.66189,0.0,3.9373,0.0,4.31129,0.0,3.06007,0.0,3.93792,0.0,4.23794,0.0,4.14652,0.0,4.22848,0.0,3.90049,0.0
Carson,13,MCI,1,GKP,3.8,0.0,0.0,0,,Available,0.1,123,103,3.18427,0.002,6.04445,0.002,3.08611,0.002,3.15322,0.002,3.12959,0.002,3.09609,0.002,2.85201,0.002,3.01266,0.002,3.04851,0.002,3.00696,0.002,3.02911,0.002,3.12386,0.002,2.98234,0.002,3.00625,0.002,3.26691,0.002
Charles,13,MCI,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De Bruyne,13,MCI,3,MID,10.8,8.0,6.2,25,100.0,Available,30.7,106927,15424,4.1096,0.94394,7.9238,0.94394,3.9155,0.94394,4.10445,0.94394,3.52989,0.94394,3.76193,0.94394,3.76335,0.94394,3.80919,0.94394,3.74195,0.94394,3.95388,0.94394,3.79111,0.94394,4.03998,0.94394,4.06679,0.94394,3.87563,0.94394,4.04312,0.94394
Rúben,13,MCI,2,DEF,5.5,1.0,2.2,39,100.0,Available,6.4,3552,6865,3.72458,0.73187,6.68508,0.73187,3.50096,0.73187,3.5694,0.73187,2.3872,0.73187,3.02919,0.73187,3.24658,0.73187,3.41462,0.73187,3.66661,0.73187,4.02736,0.73187,2.93508,0.73187,3.84789,0.73187,3.68368,0.73187,3.49515,0.73187,3.6461,0.73187
Ederson M.,13,MCI,1,GKP,5.5,1.3,2.8,58,100.0,Available,15.1,12166,16261,3.95172,0.94934,7.45486,0.94934,3.81586,0.94934,3.90874,0.94934,3.87604,0.94934,3.82967,0.94934,3.49184,0.94934,3.71419,0.94934,3.76381,0.94934,3.7063,0.94934,3.73697,0.94934,3.86811,0.94934,3.67223,0.94934,3.70533,0.94934,4.06611,0.94934
Foden,13,MCI,3,MID,7.9,9.3,5.6,124,,Available,27.3,121394,47311,5.2833,0.94123,9.93253,0.94123,4.85883,0.94123,5.02199,0.94123,4.35837,0.94123,4.62638,0.94123,4.62802,0.94123,4.68097,0.94123,4.6033,0.94123,4.84809,0.94123,4.66008,0.94123,4.94754,0.94123,4.9785,0.94123,4.7577,0.94123,4.95116,0.94123
Grealish,13,MCI,3,MID,7.2,0.3,3.1,40,100.0,Available,1.7,379,2864,3.73047,0.67644,7.3908,0.67644,3.71409,0.67644,3.87677,0.67644,3.3565,0.67644,3.56662,0.67644,3.5679,0.67644,3.60941,0.67644,3.54852,0.67644,3.74043,0.67644,3.59304,0.67644,3.8184,0.67644,3.84267,0.67644,3.66957,0.67644,3.82124,0.67644
Haaland,13,MCI,4,FWD,14.2,2.0,6.9,118,100.0,Available,63.3,210837,11790,6.12922,0.89425,11.57163,0.89425,5.98045,0.89425,6.11081,0.89425,5.36786,0.89425,5.96537,0.89425,5.5338,0.89425,5.98873,0.89425,5.61188,0.89425,7.26923,0.89425,6.36736,0.89425,6.08416,0.89425,6.26047,0.89425,6.22901,0.89425,6.39542,0.89425
Kovačić,13,MCI,3,MID,4.7,1.3,1.6,28,100.0,Available,0.4,71,247,2.32338,0.89023,4.71662,0.89023,2.43592,0.89023,2.55047,0.89023,2.29126,0.89023,2.39595,0.89023,2.39659,0.89023,2.41727,0.89023,2.38693,0.89023,2.48255,0.89023,2.40911,0.89023,2.52139,0.89023,2.53348,0.89023,2.44724,0.89023,2.52281,0.89023
Laporte,13,MCI,2,DEF,4.9,0.0,1.0,1,0.0,Unavailable,0.1,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.Lewis,13,MCI,2,DEF,4.3,0.7,3.2,32,,Available,0.3,349,924,2.71283,0.44081,4.84547,0.44081,2.54966,0.44081,2.58433,0.44081,1.69116,0.44081,2.1762,0.44081,2.34044,0.44081,2.4674,0.44081,2.65778,0.44081,2.93033,0.44081,2.1051,0.44081,2.79474,0.44081,2.67068,0.44081,2.52824,0.44081,2.64229,0.44081
Mahrez,13,MCI,3,MID,7.5,0.0,0.0,0,0.0,Unavailable,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ortega Moreno,13,MCI,1,GKP,3.8,0.7,2.0,4,,Available,0.7,862,2019,3.23258,0.06143,6.13748,0.06143,3.13334,0.06143,3.20118,0.06143,3.1773,0.06143,3.14342,0.06143,2.89665,0.06143,3.05907,0.06143,3.09531,0.06143,3.05331,0.06143,3.07571,0.06143,3.1715,0.06143,3.02841,0.06143,3.05259,0.06143,3.31613,0.06143
Perrone,13,MCI,3,MID,4.4,0.0,0.0,0,0.0,Unavailable,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo,13,MCI,3,MID,5.6,5.3,4.2,79,100.0,Available,5.2,6893,6062,4.25617,0.93683,8.29975,0.93683,4.13812,0.93683,4.3146,0.93683,3.76911,0.93683,3.98941,0.93683,3.99076,0.93683,4.03428,0.93683,3.97044,0.93683,4.17165,0.93683,4.01711,0.93683,4.2534,0.93683,4.27885,0.93683,4.09735,0.93683,4.25638,0.93683
Sergio Gómez,13,MCI,2,DEF,3.8,0.3,2.0,6,100.0,Available,0.9,2698,2065,1.64147,0.18573,2.90332,0.18573,1.55959,0.18573,1.58202,0.18573,1.00436,0.18573,1.31806,0.18573,1.42428,0.18573,1.50639,0.18573,1.62952,0.18573,1.80579,0.18573,1.27207,0.18573,1.7181,0.18573,1.63786,0.18573,1.54574,0.18573,1.6195,0.18573
Steffen,13,MCI,1,GKP,3.9,0.0,0.0,0,0.0,Unavailable,0.2,0,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stones,13,MCI,2,DEF,5.3,0.7,2.3,21,100.0,Available,2.6,1415,1143,2.88986,0.64584,5.05994,0.64584,2.66891,0.64584,2.70648,0.64584,1.73864,0.64584,2.26423,0.64584,2.4422,0.64584,2.57977,0.64584,2.78607,0.64584,3.08141,0.64584,2.18718,0.64584,2.93448,0.64584,2.80004,0.64584,2.6457,0.64584,2.76928,0.64584
Walker,13,MCI,2,DEF,5.5,2.7,3.2,67,,Available,17.7,22709,37885,4.2751,0.82804,7.39916,0.82804,3.84592,0.82804,3.91758,0.82804,2.59406,0.82804,3.3128,0.82804,3.55617,0.82804,3.7443,0.82804,4.02641,0.82804,4.43028,0.82804,3.20743,0.82804,4.22936,0.82804,4.04552,0.82804,3.83446,0.82804,4.00345,0.82804
Matheus N.,13,MCI,3,MID,4.8,2.0,1.9,21,100.0,Available,0.1,42,86,3.00532,0.40881,5.64329,0.40881,2.69653,0.40881,2.7862,0.40881,2.49941,0.40881,2.61523,0.40881,2.61594,0.40881,2.63882,0.40881,2.60526,0.40881,2.71105,0.40881,2.6298,0.40881,2.75403,0.40881,2.76741,0.40881,2.67198,0.40881,2.75559,0.40881
Gvardiol,13,MCI,2,DEF,4.8,1.7,2.4,44,,Available,3.3,5174,4475,3.8758,0.86073,6.79471,0.86073,3.55333,0.86073,3.60792,0.86073,2.38436,0.86073,3.04882,0.86073,3.27381,0.86073,3.44773,0.86073,3.70854,0.86073,4.08191,0.86073,2.95141,0.86073,3.89616,0.86073,3.7262,0.86073,3.53108,0.86073,3.68731,0.86073
Doku,13,MCI,3,MID,6.5,1.3,3.8,53,100.0,Available,2.4,3689,11419,3.51913,0.90419,6.97879,0.90419,3.552,0.90419,3.74797,0.90419,3.27115,0.90419,3.46372,0.90419,3.46489,0.90419,3.50294,0.90419,3.44713,0.90419,3.62302,0.90419,3.48793,0.90419,3.69447,0.90419,3.71672,0.90419,3.55807,0.90419,3.69708,0.90419
Susoho,13,MCI,3,MID,4.5,0.0,0.0,0,,Available,0.0,2,2,1.44635,0.03958,2.82131,0.03958,1.39726,0.03958,1.43142,0.03958,1.32219,0.03958,1.3663,0.03958,1.36657,0.03958,1.37528,0.03958,1.3625,0.03958,1.40279,0.03958,1.37185,0.03958,1.41916,0.03958,1.42426,0.03958,1.38791,0.03958,1.41976,0.03958
Hamilton,13,MCI,3,MID,4.5,0.0,0.0,0,,Available,0.0,10,8,1.4601,0.05231,2.84831,0.05231,1.41067,0.05231,1.44506,0.05231,1.33506,0.05231,1.37949,0.05231,1.37976,0.05231,1.38854,0.05231,1.37566,0.05231,1.41624,0.05231,1.38507,0.05231,1.43272,0.05231,1.43785,0.05231,1.40125,0.05231,1.43332,0.05231
Mount,14,MUN,3,MID,6.8,0.0,1.5,12,25.0,Doubtful,0.8,16,240,2.1003,0.05968,2.22384,0.23126,2.34446,0.47744,1.98236,0.6341,2.30978,0.75769,2.28597,0.79178,2.21823,0.79178,2.10172,0.79178,2.21202,0.79178,2.20169,0.79178,2.31892,0.79178,2.29603,0.79178,2.12516,0.79178,2.13411,0.79178,2.13352,0.79178
Alex Telles,14,MUN,2,DEF,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
