name,team_id,team,element_type,position,cost,form,points_per_game,total_points,official_chance,official_availablity,selected_by_percent,transfers_in_event,transfers_out_event,gw_24_xp,gw_24_prob_of_appearing,gw_25_xp,gw_25_prob_of_appearing,gw_26_xp,gw_26_prob_of_appearing,gw_27_xp,gw_27_prob_of_appearing,gw_28_xp,gw_28_prob_of_appearing,gw_29_xp,gw_29_prob_of_appearing,gw_30_xp,gw_30_prob_of_appearing,gw_31_xp,gw_31_prob_of_appearing,gw_32_xp,gw_32_prob_of_appearing,gw_33_xp,gw_33_prob_of_appearing,gw_34_xp,gw_34_prob_of_appearing,gw_35_xp,gw_35_prob_of_appearing,gw_36_xp,gw_36_prob_of_appearing,gw_37_xp,gw_37_prob_of_appearing,gw_38_xp,gw_38_prob_of_appearing
Balogun,1,ARS,4,FWD,4.4,0.0,0.0,0,0.0,Unavailable,0.2,0,78,1.49612,0.0,1.57128,0.0,1.55681,0.0,1.5922,0.0,1.46398,0.0,1.46626,0.0,1.37913,0.0,1.55323,0.0,1.44639,0.0,1.53291,0.0,1.47669,0.0,1.43642,0.0,1.57052,0.0,1.38361,0.0,1.60086,0.0
Cédric,1,ARS,2,DEF,3.9,0.0,0.0,0,,Available,0.4,109,293,1.3891,0.00079,1.78089,0.00079,1.60498,0.00079,1.50822,0.00079,1.68311,0.00079,1.39329,0.00079,1.09841,0.00079,1.86443,0.00079,1.34048,0.00079,1.5428,0.00079,1.65205,0.00079,1.29108,0.00079,1.7006,0.00079,1.42303,0.00079,1.79629,0.00079
M.Elneny,1,ARS,3,MID,4.4,0.0,4.0,4,100.0,Available,0.1,28,56,1.02189,0.03708,1.03266,0.03708,1.07932,0.03708,1.05935,0.03708,1.05633,0.03708,1.04311,0.03708,0.96577,0.03708,1.04388,0.03708,1.01677,0.03708,1.02345,0.03708,1.0336,0.03708,1.02089,0.03708,1.09554,0.03708,1.03192,0.03708,1.07624,0.03708
Fábio Vieira,1,ARS,3,MID,5.4,0.0,2.6,21,50.0,Doubtful,0.1,6,34,1.73555,0.23389,1.7645,0.48287,1.88989,0.64132,1.83623,0.71627,1.8281,0.74984,1.79259,0.74984,1.58473,0.74984,1.79464,0.74984,1.72179,0.74984,1.73973,0.74984,1.76703,0.74984,1.73286,0.74984,1.93348,0.74984,1.7625,0.74984,1.88161,0.74984
Gabriel,1,ARS,2,DEF,5.0,6.0,3.6,76,100.0,Available,18.6,35133,13467,3.88257,0.93414,4.75449,0.93414,4.20958,0.93414,4.00188,0.93414,4.45729,0.93414,3.7349,0.93414,2.99992,0.93414,4.90924,0.93414,3.60328,0.93414,4.10756,0.93414,4.37987,0.93414,3.48015,0.93414,4.50087,0.93414,3.80903,0.93414,4.73939,0.93414
Havertz,1,ARS,3,MID,7.1,2.7,2.7,60,100.0,Available,1.6,567,1581,3.69195,0.93985,3.80386,0.93985,4.10928,0.93985,3.9762,0.93985,3.90071,0.93985,3.81776,0.93985,3.33237,0.93985,3.82257,0.93985,3.65244,0.93985,3.69433,0.93985,3.75807,0.93985,3.6783,0.93985,4.14678,0.93985,3.74751,0.93985,4.02566,0.93985
G.Jesus,1,ARS,4,FWD,8.0,5.0,3.7,63,75.0,Doubtful,3.9,3621,36413,4.32846,0.49832,4.0305,0.66183,4.53883,0.74192,4.43031,0.78056,4.02888,0.78056,3.97604,0.78056,3.74081,0.78056,4.8757,0.78056,4.04778,0.78056,4.06262,0.78056,4.25316,0.78056,4.30304,0.78056,3.98187,0.78056,3.87504,0.78056,4.28361,0.78056
Jorginho,1,ARS,3,MID,5.3,2.3,1.6,22,100.0,Available,0.2,159,106,2.16244,0.65642,2.24911,0.65642,2.43969,0.65642,2.42191,0.65642,2.41657,0.65642,2.3783,0.65642,2.15437,0.65642,2.38052,0.65642,2.30203,0.65642,2.32135,0.65642,2.35076,0.65642,2.31396,0.65642,2.53009,0.65642,2.34589,0.65642,2.47421,0.65642
Kiwior,1,ARS,2,DEF,4.3,1.7,1.6,18,,Available,0.1,298,68,1.8265,0.75362,2.46729,0.75362,2.30967,0.75362,2.22223,0.75362,2.45824,0.75362,2.06808,0.75362,1.67111,0.75362,2.70234,0.75362,1.99699,0.75362,2.26935,0.75362,2.41643,0.75362,1.93049,0.75362,2.48178,0.75362,2.10812,0.75362,2.6106,0.75362
Marquinhos,1,ARS,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martinelli,1,ARS,3,MID,7.7,9.0,4.0,84,100.0,Available,5.9,19572,8294,4.8733,0.94113,4.91084,0.94113,5.21622,0.94113,4.99529,0.94113,4.88323,0.94113,4.77891,0.94113,4.1684,0.94113,4.78495,0.94113,4.57098,0.94113,4.62366,0.94113,4.70384,0.94113,4.6035,0.94113,5.19274,0.94113,4.69055,0.94113,5.04039,0.94113
Nketiah,1,ARS,4,FWD,5.2,1.7,3.1,65,100.0,Available,3.8,1053,10999,2.7289,0.75552,2.58448,0.75552,2.94449,0.75552,2.90185,0.75552,2.65859,0.75552,2.62656,0.75552,2.48401,0.75552,3.17176,0.75552,2.67004,0.75552,2.67903,0.75552,2.79449,0.75552,2.82472,0.75552,2.63009,0.75552,2.56536,0.75552,2.81295,0.75552
Ødegaard,1,ARS,3,MID,8.5,2.3,4.5,90,100.0,Available,15.3,5892,44388,5.40874,0.92749,5.55342,0.92749,6.0077,0.92749,5.78732,0.92749,5.74648,0.92749,5.61988,0.92749,4.879,0.92749,5.62721,0.92749,5.36754,0.92749,5.43148,0.92749,5.52878,0.92749,5.40701,0.92749,6.12207,0.92749,5.51265,0.92749,5.93719,0.92749
Thomas,1,ARS,3,MID,4.8,0.0,1.8,7,0.0,Injured,0.1,5,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pepe,1,ARS,3,MID,4.9,0.0,0.0,0,0.0,Unavailable,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramsdale,1,ARS,1,GKP,4.5,0.0,3.4,17,,Available,6.0,320,3454,3.24402,0.0603,3.53032,0.0603,3.32654,0.0603,3.49505,0.0603,3.36202,0.0603,3.57605,0.0603,3.0328,0.0603,3.45054,0.0603,3.55853,0.0603,3.45744,0.0603,3.60929,0.0603,3.47738,0.0603,3.51082,0.0603,3.58077,0.0603,3.66538,0.0603
Rúnarsson,1,ARS,1,GKP,4.0,0.0,0.0,0,0.0,Unavailable,0.1,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saka,1,ARS,3,MID,9.0,7.3,5.9,129,100.0,Available,60.1,39867,45927,6.13846,0.94123,6.17843,0.94123,6.6307,0.94123,6.33344,0.94123,6.23273,0.94123,6.08871,0.94123,5.24589,0.94123,6.09705,0.94123,5.80166,0.94123,5.87438,0.94123,5.98507,0.94123,5.84655,0.94123,6.66001,0.94123,5.96672,0.94123,6.44969,0.94123
Saliba,1,ARS,2,DEF,5.6,3.0,3.7,84,100.0,Available,36.2,14771,39462,3.36318,0.94116,4.26468,0.94116,3.88088,0.94116,3.67231,0.94116,4.05629,0.94116,3.41582,0.94116,2.76419,0.94116,4.457,0.94116,3.29913,0.94116,3.74622,0.94116,3.98766,0.94116,3.18996,0.94116,4.09494,0.94116,3.48155,0.94116,4.3064,0.94116
Smith Rowe,1,ARS,3,MID,5.3,1.3,1.9,15,100.0,Available,0.1,83,89,2.3269,0.53545,2.38692,0.53545,2.57325,0.53545,2.49311,0.53545,2.48247,0.53545,2.43596,0.53545,2.16376,0.53545,2.43865,0.53545,2.34325,0.53545,2.36674,0.53545,2.40249,0.53545,2.35775,0.53545,2.62046,0.53545,2.39656,0.53545,2.55254,0.53545
Tierney,1,ARS,2,DEF,4.4,0.0,0.0,0,0.0,Unavailable,0.1,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomiyasu,1,ARS,2,DEF,4.5,0.0,3.0,39,75.0,Doubtful,0.3,132,246,1.71385,0.59709,2.2165,0.81169,2.00431,0.86328,1.88759,0.88138,2.09856,0.88138,1.74895,0.88138,1.39325,0.88138,2.31728,0.88138,1.68526,0.88138,1.9293,0.88138,2.06109,0.88138,1.62566,0.88138,2.11965,0.88138,1.78483,0.88138,2.23508,0.88138
Trossard,1,ARS,3,MID,6.5,5.7,3.4,64,100.0,Available,1.6,2454,1602,3.23247,0.93653,3.36315,0.93653,3.65055,0.93653,3.62836,0.93653,3.65477,0.93653,3.58058,0.93653,3.14642,0.93653,3.58488,0.93653,3.43271,0.93653,3.47017,0.93653,3.52719,0.93653,3.45584,0.93653,3.87486,0.93653,3.51774,0.93653,3.76653,0.93653
White,1,ARS,2,DEF,5.6,3.0,3.5,78,100.0,Available,10.5,4540,15270,3.39508,0.93158,4.3116,0.93158,3.90635,0.93158,3.68904,0.93158,4.08362,0.93158,3.42632,0.93158,2.75756,0.93158,4.49485,0.93158,3.30656,0.93158,3.7654,0.93158,4.01318,0.93158,3.19452,0.93158,4.12328,0.93158,3.49377,0.93158,4.3403,0.93158
Xhaka,1,ARS,3,MID,6.0,0.0,0.0,0,0.0,Unavailable,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zinchenko,1,ARS,2,DEF,5.2,4.7,4.0,85,75.0,Doubtful,10.5,16213,31126,3.47535,0.57261,4.3932,0.76058,3.94258,0.8411,3.68907,0.87261,4.15254,0.87261,3.45391,0.87261,2.74309,0.87261,4.58963,0.87261,3.32662,0.87261,3.81431,0.87261,4.07767,0.87261,3.20753,0.87261,4.1947,0.87261,3.52561,0.87261,4.42537,0.87261
Raya,1,ARS,1,GKP,4.9,4.0,3.7,67,100.0,Available,6.2,9479,7093,3.55358,0.94925,3.89817,0.94925,3.65289,0.94925,3.85572,0.94925,3.6956,0.94925,3.95321,0.94925,3.29935,0.94925,3.80214,0.94925,3.93213,0.94925,3.81046,0.94925,3.99323,0.94925,3.83445,0.94925,3.8747,0.94925,3.95889,0.94925,4.06073,0.94925
Rice,1,ARS,3,MID,5.4,3.0,3.4,78,100.0,Available,4.7,3439,7615,3.68889,0.94102,3.75679,0.94102,4.04336,0.94102,3.96424,0.94102,3.95569,0.94102,3.88442,0.94102,3.46733,0.94102,3.88855,0.94102,3.74236,0.94102,3.77836,0.94102,3.83313,0.94102,3.76458,0.94102,4.16714,0.94102,3.82405,0.94102,4.06306,0.94102
Nelson,1,ARS,3,MID,4.8,0.3,0.9,9,100.0,Available,0.0,25,34,1.29011,0.52708,1.34698,0.52708,1.43385,0.52708,1.42658,0.52708,1.44326,0.52708,1.42459,0.52708,1.31532,0.52708,1.42567,0.52708,1.38737,0.52708,1.3968,0.52708,1.41115,0.52708,1.39319,0.52708,1.49866,0.52708,1.40877,0.52708,1.47139,0.52708
J.Timber,1,ARS,2,DEF,4.6,0.0,0.0,0,0.0,Injured,0.4,39,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hein,1,ARS,1,GKP,4.0,0.0,0.0,0,,Available,0.1,42,36,2.83652,0.002,3.07281,0.002,2.90462,0.002,3.0437,0.002,2.9339,0.002,3.11055,0.002,2.66219,0.002,3.00696,0.002,3.09609,0.002,3.01266,0.002,3.13798,0.002,3.02911,0.002,3.05671,0.002,3.11444,0.002,3.18427,0.002
Sagoe,1,ARS,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,4,20,1.30897,0.0,1.32297,0.0,1.38365,0.0,1.35768,0.0,1.35375,0.0,1.33656,0.0,1.23599,0.0,1.33756,0.0,1.30231,0.0,1.31099,0.0,1.3242,0.0,1.30767,0.0,1.40473,0.0,1.31886,0.0,1.37964,0.0
Walters,1,ARS,2,DEF,4.0,0.0,0.0,0,,Available,0.0,110,62,1.44987,0.00867,1.85316,0.00867,1.67208,0.00867,1.57248,0.00867,1.75251,0.00867,1.45417,0.00867,1.15063,0.00867,1.93916,0.00867,1.39982,0.00867,1.60808,0.00867,1.72054,0.00867,1.34896,0.00867,1.77051,0.00867,1.48479,0.00867,1.86902,0.00867
Ibrahim,1,ARS,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis-Skelly,1,ARS,3,MID,4.5,0.0,0.0,0,,Available,0.0,20,2,1.36009,0.03105,1.37449,0.03105,1.43686,0.03105,1.41017,0.03105,1.40613,0.03105,1.38846,0.03105,1.28506,0.03105,1.38948,0.03105,1.35324,0.03105,1.36217,0.03105,1.37574,0.03105,1.35875,0.03105,1.45854,0.03105,1.37349,0.03105,1.43274,0.03105
Nwaneri,1,ARS,3,MID,4.5,0.0,0.0,0,,Available,0.0,11,6,1.38643,0.05432,1.40103,0.05432,1.46428,0.05432,1.43721,0.05432,1.43311,0.05432,1.4152,0.05432,1.31035,0.05432,1.41624,0.05432,1.37949,0.05432,1.38854,0.05432,1.40231,0.05432,1.38507,0.05432,1.48627,0.05432,1.40002,0.05432,1.4601,0.05432
Alex Moreno,2,AVL,2,DEF,5.1,6.7,3.5,35,100.0,Available,1.9,40033,3181,2.78928,0.91348,2.801,0.91348,3.19163,0.91348,2.65978,0.91348,2.76058,0.91348,2.60113,0.91348,3.09684,0.91348,2.11254,0.91348,3.09529,0.91348,2.22939,0.91348,3.12468,0.91348,2.60816,0.91348,2.51941,0.91348,2.54389,0.91348,3.08178,0.91348
Bailey,2,AVL,3,MID,5.6,4.7,4.2,88,100.0,Available,3.5,13817,10087,3.06225,0.93972,2.96389,0.93972,3.23431,0.93972,3.10054,0.93972,3.07781,0.93972,2.98946,0.93972,3.1704,0.93972,2.72178,0.93972,3.15373,0.93972,2.82739,0.93972,3.34075,0.93972,3.09069,0.93972,2.96504,0.93972,3.09137,0.93972,2.95158,0.93972
Buendia,2,AVL,3,MID,5.7,0.0,0.0,0,0.0,Injured,0.0,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67003,0.01,2.39752,0.78409,2.82621,0.87913,2.61739,0.89785,2.51247,0.89785,2.61796,0.90611,2.50122,0.90611
Cash,2,AVL,2,DEF,4.6,1.0,2.6,53,100.0,Available,15.8,6482,36688,3.01881,0.78266,3.0365,0.78266,3.53706,0.78266,2.88736,0.78266,3.04776,0.78266,2.85602,0.78266,3.45212,0.78266,2.26848,0.78266,3.45026,0.78266,2.409,0.78266,3.4856,0.78266,2.86448,0.78266,2.75775,0.78266,2.78719,0.78266,3.43402,0.78266
Chambers,2,AVL,2,DEF,3.8,0.0,0.0,0,,Available,1.0,5755,1252,1.59551,0.00132,1.55654,0.00132,1.75648,0.00132,1.39693,0.00132,1.45544,0.00132,1.36057,0.00132,1.6555,0.00132,1.06988,0.00132,1.65458,0.00132,1.1394,0.00132,1.67206,0.00132,1.36476,0.00132,1.31195,0.00132,1.32652,0.00132,1.64654,0.00132
Coutinho,2,AVL,3,MID,5.8,0.0,1.0,2,0.0,Unavailable,0.2,0,24,2.63649,0.0,2.59192,0.0,2.72911,0.0,2.43827,0.0,2.55539,0.0,2.44274,0.0,2.57464,0.0,2.23466,0.0,2.6307,0.0,2.33809,0.0,2.77631,0.0,2.48413,0.0,2.47372,0.0,2.48548,0.0,2.45695,0.0
Davis,2,AVL,4,FWD,4.9,0.0,0.0,0,0.0,Unavailable,0.1,0,22,2.20328,0.0,2.35799,0.0,2.52396,0.0,1.97207,0.0,2.06529,0.0,2.09748,0.0,2.22231,0.0,1.92503,0.0,2.04951,0.0,2.01794,0.0,2.2254,0.0,2.05291,0.0,2.05484,0.0,2.23481,0.0,2.08475,0.0
Dendoncker,2,AVL,3,MID,4.9,0.0,2.5,20,0.0,Unavailable,0.0,0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Carlos,2,AVL,2,DEF,4.4,3.7,2.3,37,100.0,Available,0.7,3076,1111,2.54028,0.74702,2.54179,0.74702,2.84941,0.74702,2.36847,0.74702,2.46568,0.74702,2.33449,0.74702,2.74235,0.74702,1.93249,0.74702,2.74108,0.74702,2.02863,0.74702,2.76526,0.74702,2.34028,0.74702,2.26725,0.74702,2.2874,0.74702,2.72996,0.74702
Digne,2,AVL,2,DEF,4.6,0.0,3.1,56,50.0,Doubtful,2.6,152,7875,3.04052,0.30917,2.97078,0.63828,3.32858,0.82273,2.68515,0.87499,2.78985,0.89413,2.62009,0.89413,3.14787,0.89413,2.09989,0.89413,3.14622,0.89413,2.22431,0.89413,3.17751,0.89413,2.62758,0.89413,2.53308,0.89413,2.55915,0.89413,3.13184,0.89413
Douglas Luiz,2,AVL,3,MID,5.6,3.0,4.7,103,100.0,Available,9.0,18848,31102,4.80758,0.93772,4.54793,0.93772,4.9871,0.93772,4.76513,0.93772,4.71606,0.93772,4.57058,0.93772,4.86854,0.93772,4.12977,0.93772,4.84109,0.93772,4.30368,0.93772,5.14908,0.93772,4.73728,0.93772,4.53037,0.93772,4.7384,0.93772,4.5082,0.93772
Duran,2,AVL,4,FWD,5.0,0.3,1.7,24,0.0,Injured,0.2,14,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hause,2,AVL,2,DEF,3.9,0.0,0.0,0,,Available,0.2,92,177,1.58289,3e-05,1.54392,3e-05,1.74387,3e-05,1.38431,3e-05,1.44282,3e-05,1.34796,3e-05,1.64288,3e-05,1.05726,3e-05,1.64196,3e-05,1.12679,3e-05,1.65945,3e-05,1.35214,3e-05,1.29933,3e-05,1.3139,3e-05,1.63392,3e-05
Iroegbunam,2,AVL,3,MID,4.4,0.3,1.0,2,100.0,Available,0.0,20,15,1.07946,0.30198,1.06486,0.30198,1.13335,0.30198,1.11846,0.30198,1.13056,0.30198,1.11115,0.30198,1.15089,0.30198,1.05237,0.30198,1.14723,0.30198,1.07556,0.30198,1.1883,0.30198,1.13339,0.30198,1.10579,0.30198,1.13353,0.30198,1.10283,0.30198
Kamara,2,AVL,3,MID,5.0,2.3,2.0,38,100.0,Available,0.1,219,137,2.59383,0.92202,2.5418,0.92202,2.77305,0.92202,2.70579,0.92202,2.70036,0.92202,2.63422,0.92202,2.76969,0.92202,2.43381,0.92202,2.75721,0.92202,2.51288,0.92202,2.89723,0.92202,2.71001,0.92202,2.61594,0.92202,2.71052,0.92202,2.60586,0.92202
Konsa,2,AVL,2,DEF,4.6,2.7,2.6,59,50.0,Doubtful,3.2,3663,14378,3.41301,0.31,3.43284,0.64,3.89669,0.84108,3.23985,0.90939,3.35942,0.94123,3.1734,0.94123,3.75172,0.94123,2.60338,0.94123,3.74991,0.94123,2.73971,0.94123,3.7842,0.94123,3.1816,0.94123,3.07805,0.94123,3.10662,0.94123,3.73415,0.94123
Martinez,2,AVL,1,GKP,5.2,6.0,3.6,79,100.0,Available,12.6,23411,10741,3.89821,0.94941,3.69361,0.94941,4.05916,0.94941,3.77206,0.94941,3.6134,0.94941,3.45731,0.94941,3.66032,0.94941,3.21462,0.94941,3.59289,0.94941,3.63591,0.94941,3.76386,0.94941,3.83881,0.94941,3.81868,0.94941,3.59504,0.94941,3.75244,0.94941
McGinn,2,AVL,3,MID,5.5,4.0,3.9,90,100.0,Available,1.6,5976,4822,4.59832,0.94123,4.34699,0.94123,4.58037,0.94123,4.29088,0.94123,4.14845,0.94123,4.02997,0.94123,4.27263,0.94123,3.67099,0.94123,4.25027,0.94123,3.81262,0.94123,4.50109,0.94123,4.16573,0.94123,3.99723,0.94123,4.16664,0.94123,3.97917,0.94123
Mings,2,AVL,2,DEF,4.1,0.0,0.0,0,0.0,Injured,1.1,28,394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olsen,2,AVL,1,GKP,3.9,0.0,2.0,2,100.0,Available,0.6,143,262,3.10312,0.002,2.96067,0.002,3.21518,0.002,3.01528,0.002,2.90482,0.002,2.79614,0.002,2.93749,0.002,2.62716,0.002,2.89053,0.002,2.92049,0.002,3.00958,0.002,3.06176,0.002,3.04775,0.002,2.89204,0.002,3.00162,0.002
Philogene,2,AVL,3,MID,4.5,0.0,1.0,1,0.0,Unavailable,0.1,0,20,1.35034,0.0,1.34071,0.0,1.37977,0.0,1.29927,0.0,1.33413,0.0,1.30007,0.0,1.33065,0.0,1.2427,0.0,1.34988,0.0,1.26801,0.0,1.38441,0.0,1.31163,0.0,1.31351,0.0,1.312,0.0,1.30147,0.0
J.Ramsey,2,AVL,3,MID,5.9,0.7,1.6,19,100.0,Available,0.1,202,215,2.79638,0.84927,2.72726,0.84927,3.02004,0.84927,2.95835,0.84927,2.96826,0.84927,2.88579,0.84927,3.0547,0.84927,2.63589,0.84927,3.03914,0.84927,2.73448,0.84927,3.21373,0.84927,2.98029,0.84927,2.86299,0.84927,2.98092,0.84927,2.85042,0.84927
Sanson,2,AVL,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sinisalo,2,AVL,1,GKP,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tielemans,2,AVL,3,MID,5.6,3.3,2.1,39,100.0,Available,0.4,546,163,2.49427,0.92036,2.43274,0.92036,2.63059,0.92036,2.53867,0.92036,2.5169,0.92036,2.45633,0.92036,2.58037,0.92036,2.27282,0.92036,2.56895,0.92036,2.34522,0.92036,2.69716,0.92036,2.52573,0.92036,2.43959,0.92036,2.52619,0.92036,2.43036,0.92036
Bertrand Traoré,2,AVL,3,MID,5.0,0.0,1.0,2,0.0,Unavailable,0.0,11,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Watkins,2,AVL,4,FWD,8.8,8.7,6.3,146,100.0,Available,53.7,73509,41327,5.1838,0.94123,5.28556,0.94123,6.11817,0.94123,5.24102,0.94123,5.27782,0.94123,5.4381,0.94123,5.30684,0.94123,4.70502,0.94123,5.05572,0.94123,4.54966,0.94123,4.99848,0.94123,4.99139,0.94123,5.07872,0.94123,5.10987,0.94123,4.80548,0.94123
Wesley,2,AVL,4,FWD,5.0,0.0,0.0,0,0.0,Unavailable,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pau,2,AVL,2,DEF,4.6,0.0,3.4,61,50.0,Doubtful,3.2,222,21794,3.08604,0.30992,3.06979,0.63984,3.39957,0.81579,2.80652,0.8598,2.90303,0.8725,2.74656,0.8725,3.23301,0.8725,2.2671,0.8725,3.23149,0.8725,2.38177,0.8725,3.26033,0.8725,2.75346,0.8725,2.66636,0.8725,2.69039,0.8725,3.21823,0.8725
Diaby,2,AVL,3,MID,6.5,2.0,4.0,91,100.0,Available,8.1,3649,44338,4.09473,0.92565,3.88769,0.92565,4.27813,0.92565,4.12653,0.92565,4.11568,0.92565,3.99812,0.92565,4.23888,0.92565,3.64194,0.92565,4.2167,0.92565,3.78247,0.92565,4.46556,0.92565,4.13282,0.92565,3.96563,0.92565,4.13372,0.92565,3.94772,0.92565
Kellyman,2,AVL,3,MID,4.5,0.0,0.0,0,,Available,0.1,36,40,1.24237,0.00057,1.2031,0.00057,1.26023,0.00057,1.22061,0.00057,1.21231,0.00057,1.18981,0.00057,1.23591,0.00057,1.12161,0.00057,1.23166,0.00057,1.14851,0.00057,1.27931,0.00057,1.2156,0.00057,1.18358,0.00057,1.21577,0.00057,1.18015,0.00057
Marschall,2,AVL,1,GKP,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,58,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
Zaniolo,2,AVL,3,MID,5.4,0.3,1.2,18,25.0,Doubtful,0.1,31,184,1.96426,0.0469,1.93829,0.18172,2.14892,0.37516,2.08428,0.49826,2.0639,0.55688,2.00866,0.58619,2.1218,0.58619,1.84127,0.58619,2.11138,0.58619,1.90731,0.58619,2.22833,0.58619,2.07196,0.58619,1.99339,0.58619,2.07238,0.58619,1.98497,0.58619
Zych,2,AVL,1,GKP,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lenglet,2,AVL,2,DEF,4.5,4.0,3.3,20,,Available,0.2,1930,406,2.97054,0.76915,2.99759,0.76915,3.38615,0.76915,2.80314,0.76915,2.9242,0.76915,2.76277,0.76915,3.26465,0.76915,2.26809,0.76915,3.26309,0.76915,2.3864,0.76915,3.29284,0.76915,2.76989,0.76915,2.68002,0.76915,2.70481,0.76915,3.24941,0.76915
Proctor,2,AVL,1,GKP,4.0,0.0,0.0,0,,Available,0.0,38,16,3.30965,0.00247,3.15544,0.00247,3.43095,0.00247,3.21456,0.00247,3.09499,0.00247,2.97734,0.00247,3.13035,0.00247,2.79443,0.00247,3.07952,0.00247,3.11195,0.00247,3.20839,0.00247,3.26487,0.00247,3.24971,0.00247,3.08115,0.00247,3.19978,0.00247
