ID,Name,Team,Pos,Price,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
85,Solanke,BOU,FWD,7.2,4.35648,0.94123,4.10046,4.22559,0.94123,3.97726,4.73691,0.94123,4.45854,4.43866,0.94123,4.17781,4.19394,0.94123,3.94747,4.26672,0.94123,4.01597,3.6689,0.94123,3.45329,4.12373,0.94123,3.88138,4.36546,0.94123,4.10891,4.34917,0.94123,4.09358
86,Tavernier,BOU,MID,5.5,3.26824,0.94118,3.07602,3.26366,0.94118,3.0717,3.30548,0.94118,3.11106,3.40441,0.94118,3.20417,3.13853,0.94118,2.95393,3.246,0.94118,3.05508,2.8885,0.94118,2.71861,3.41679,0.94118,3.21583,3.17874,0.94118,2.99178,3.24489,0.94118,3.05404
87,"Hamed Traorè",BOU,MID,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Travers,BOU,GK,4,2.92799,0.06,0.17569,2.88113,0.06,0.17288,2.65453,0.06,0.15928,2.72411,0.06,0.16346,2.40323,0.06,0.1442,2.58136,0.06,0.15489,2.50838,0.06,0.15051,2.48581,0.06,0.14916,2.49435,0.06,0.14967,2.61592,0.06,0.15696
89,Zabarnyi,BOU,DEF,4.5,2.82649,0.94099,2.65971,2.95111,0.94099,2.77697,2.28683,0.94099,2.15189,2.48862,0.94099,2.34178,2.11609,0.94099,1.99122,2.0872,0.94099,1.96405,1.84753,0.94099,1.73852,2.62745,0.94099,2.47241,2.06114,0.94099,1.93952,2.46474,0.94099,2.31931
90,Ajer,BRE,DEF,4.4,1.86963,0.93191,1.74233,1.52191,0.93191,1.41828,1.62639,0.93191,1.51565,2.66739,0.93191,2.48577,1.91571,0.93191,1.78527,1.98536,0.93191,1.85018,2.50653,0.93191,2.33586,2.00096,0.93191,1.86472,2.22824,0.93191,2.07653,0,0,0
91,Balcombe,BRE,GK,3.9,3.0319,0.002,0.00606,2.86807,0.002,0.00574,2.66364,0.002,0.00533,3.08096,0.002,0.00616,2.95204,0.002,0.0059,3.41517,0.002,0.00683,3.33117,0.002,0.00666,2.93497,0.002,0.00587,2.74163,0.002,0.00548,0,0,0
92,Baptiste,BRE,MID,4.3,1.29523,0.40207,0.52077,1.25066,0.40207,0.50285,1.23212,0.40207,0.4954,1.36648,0.40207,0.54942,1.33975,0.40207,0.53867,1.30367,0.40207,0.52417,1.39946,0.40207,0.56268,1.29421,0.40207,0.52036,1.37095,0.40207,0.55122,0,0,0
93,Bech,BRE,DEF,4,1.58594,0,0.0156,1.53807,0,0.01513,2.03161,0,0.01998,1.5014,0,0.01477,1.69822,0,0.0167,1.95988,0,0.01928,1.90068,0,0.01869,1.85407,0,0.01824,1.12624,0,0.01108,0,0,0
94,Bidstrup,BRE,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Canós,BRE,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Collins,BRE,DEF,4.5,2.05892,0.88573,1.82364,1.74627,0.88573,1.54672,1.82207,0.88573,1.61386,2.70516,0.88573,2.39603,2.06093,0.88573,1.82542,2.12106,0.88573,1.87868,2.57099,0.88573,2.27719,2.13453,0.88573,1.89061,2.33074,0.88573,2.0644,0,0,0
97,Cox,BRE,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Damsgaard,BRE,MID,4.8,1.50249,0.59398,0.89245,1.47854,0.59398,0.87822,1.47002,0.59398,0.87316,1.63018,0.59398,0.9683,1.58655,0.59398,0.94238,1.54675,0.59398,0.91874,1.65243,0.59398,0.98151,1.53632,0.59398,0.91254,1.62098,0.59398,0.96283,0,0,0
99,Dasilva,BRE,MID,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Dervişoğlu,BRE,FWD,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Flekken,BRE,GK,4.6,3.53522,0.9492,3.35563,3.33834,0.9492,3.16874,3.09265,0.9492,2.93554,3.59418,0.9492,3.41159,3.43925,0.9492,3.26453,3.99585,0.9492,3.79285,3.89489,0.9492,3.69702,3.41873,0.9492,3.24505,3.18638,0.9492,3.0245,0,0,0
102,Goode,BRE,DEF,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Henry,BRE,DEF,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Hickey,BRE,DEF,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Janelt,BRE,MID,5.3,2.28961,0.94123,2.15505,2.27831,0.94123,2.14442,2.28612,0.94123,2.15177,2.53295,0.94123,2.3841,2.49168,0.94123,2.34525,2.43105,0.94123,2.28819,2.59201,0.94123,2.43968,2.41517,0.94123,2.27323,2.54411,0.94123,2.39459,0,0,0
106,Jensen,BRE,MID,5.4,2.40115,0.93722,2.25041,2.38376,0.93722,2.23412,2.39234,0.93722,2.24216,2.67772,0.93722,2.50963,2.61865,0.93722,2.45426,2.54625,0.93722,2.3864,2.73848,0.93722,2.56657,2.52727,0.93722,2.36862,2.68127,0.93722,2.51295,0,0,0
107,Lewis-Potter,BRE,MID,4.7,2.36224,0.85152,2.01149,2.28534,0.85152,1.94602,2.25498,0.85152,1.92017,2.56619,0.85152,2.18516,2.49274,0.85152,2.12263,2.41214,0.85152,2.05399,2.62613,0.85152,2.23621,2.39102,0.85152,2.036,2.56245,0.85152,2.18198,0,0,0
108,Mbeumo,BRE,MID,6.7,4.12859,0.93399,3.85607,3.86575,0.93399,3.61057,3.74751,0.93399,3.50014,4.47892,0.93399,4.18327,4.31513,0.93399,4.03029,4.11463,0.93399,3.84303,4.64694,0.93399,4.3402,4.06208,0.93399,3.79395,4.48851,0.93399,4.19223,0,0,0
109,Mee,BRE,DEF,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Nørgaard,BRE,MID,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Onyeka,BRE,MID,4.9,1.61503,0.92973,1.50155,1.59863,0.92973,1.4863,1.60581,0.92973,1.49298,1.83575,0.92973,1.70676,1.79506,0.92973,1.66893,1.73945,0.92973,1.61722,1.88711,0.92973,1.75451,1.72487,0.92973,1.60367,1.84316,0.92973,1.71365,0,0,0
112,Pinnock,BRE,DEF,4.5,2.80965,0.24407,0.68575,2.24901,0.50389,1.13324,2.28927,0.66922,1.53203,3.55347,0.74521,2.64809,2.54419,0.77876,1.98131,2.6325,0.77876,2.05008,3.29332,0.77876,2.5647,2.65229,0.77876,2.06549,2.94047,0.77876,2.28991,0,0,0
113,Raya,ARS,GK,5,2.87342,0.94931,2.72777,3.46795,0.94931,3.29216,3.63531,0.94931,3.45103,3.41031,0.94931,3.23744,3.53646,0.94931,3.35719,3.43602,0.94931,3.26185,3.41777,0.94931,3.24452,3.71931,0.94931,3.53078,4.02491,0.94931,3.82089,3.71996,0.94931,3.53139
114,Roerslev,BRE,DEF,4.4,2.16158,0.93154,2.0136,1.77906,0.93154,1.65727,1.78822,0.93154,1.6658,2.66925,0.93154,2.48653,2.03919,0.93154,1.8996,2.09727,0.93154,1.9537,2.53187,0.93154,2.35854,2.11028,0.93154,1.96582,2.29981,0.93154,2.14237,0,0,0
115,Schade,BRE,MID,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Strakosha,BRE,GK,3.9,2.98096,0.06004,0.17899,2.82007,0.06004,0.16933,2.61931,0.06004,0.15727,3.02914,0.06004,0.18188,2.90254,0.06004,0.17428,3.35736,0.06004,0.20159,3.27486,0.06004,0.19663,2.88577,0.06004,0.17327,2.6959,0.06004,0.16187,0,0,0
117,Toney,BRE,FWD,8.2,4.30764,0.94047,4.0512,4.19931,0.94047,3.94932,4.19951,0.94047,3.94951,4.61434,0.94047,4.33964,4.93101,0.94047,4.63746,4.72639,0.94047,4.44503,5.20289,0.94047,4.89316,4.23587,0.94047,3.98371,4.64234,0.94047,4.36598,0,0,0
118,Trevitt,BRE,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Wissa,BRE,FWD,5.7,3.016,0.93106,2.80807,2.92122,0.93106,2.71982,2.88155,0.93106,2.68289,3.10502,0.93106,2.89095,3.28605,0.93106,3.05951,3.16773,0.93106,2.94934,3.44328,0.93106,3.20589,2.88406,0.93106,2.68523,3.11912,0.93106,2.90408,0,0,0
120,Yarmoliuk,BRE,MID,4.3,1.28735,0.74363,0.95731,1.28106,0.74363,0.95264,1.29951,0.74363,0.96636,1.43952,0.74363,1.07047,1.4081,0.74363,1.04711,1.3738,0.74363,1.0216,1.46487,0.74363,1.08932,1.36481,0.74363,1.01491,1.43777,0.74363,1.06917,0,0,0
121,Zanka,BRE,DEF,4.3,1.66781,0.73443,1.22489,1.35665,0.73443,0.99636,1.46739,0.73443,1.0777,2.44461,0.73443,1.79539,1.75976,0.73443,1.29242,1.82379,0.73443,1.33944,2.30287,0.73443,1.6913,1.83813,0.73443,1.34998,2.04706,0.73443,1.50342,0,0,0
122,Adingra,BHA,MID,5,2.20537,0.87623,1.93241,2.44128,0.87623,2.13912,2.31262,0.87623,2.02638,2.55555,0.87623,2.23925,0,0,0,2.54655,0.87623,2.23136,2.46733,0.87623,2.16194,2.39939,0.87623,2.10241,2.67123,0.87623,2.3406,5.00593,0.87623,4.38634
123,Alzate,BHA,MID,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Ayari,BHA,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Buonanotte,BHA,MID,4.7,1.91167,0.77905,1.48928,2.09457,0.77905,1.63177,1.94835,0.77905,1.51786,2.13566,0.77905,1.66378,0,0,0,2.10629,0.77905,1.6409,2.03494,0.77905,1.58532,1.97375,0.77905,1.53765,2.21858,0.77905,1.72838,4.13407,0.77905,3.22064
126,Caicedo,CHE,MID,4.5,2.02479,0.92465,1.87221,2.05592,0.92465,1.901,2.16188,0.92465,1.99897,2.21514,0.92465,2.04822,0,0,0,2.07342,0.92465,1.91718,2.17137,0.92465,2.00775,2.14257,0.92465,1.98112,2.23461,0.92465,2.06622,6.152,0.92465,5.68841
127,Connolly,BHA,FWD,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Dahoud,BHA,MID,4.8,2.01776,0,0.25151,1.9779,0,0.24654,2.13965,0,0.2667,2.07077,0,0.25811,0,0,0,2.11383,0,0.26348,2.1444,0,0.26729,2.14346,0,0.26717,2.10083,0,0.26186,4.23307,0,0.52764
129,Dunk,BHA,DEF,5.2,1.81872,0.94,1.7096,2.57966,0.94,2.42489,2.27992,0.94,2.14314,3.4706,0.94,3.26238,0,0,0,2.85312,0.94,2.68194,2.87743,0.94,2.7048,1.88068,0.94,1.76785,3.04913,0.94,2.8662,4.7975,0.94,4.50967
130,Enciso,BHA,MID,5,1.4502,0.90687,1.31513,1.69812,0.90687,1.53996,1.61101,0.90687,1.46097,1.83562,0.90687,1.66466,0,0,0,1.83816,0.90687,1.66696,1.7671,0.90687,1.60252,1.70617,0.90687,1.54726,1.94998,0.90687,1.76837,3.59813,0.90687,3.26302
131,Estupiñan,BHA,DEF,4.9,1.19519,0.93878,1.12202,1.86031,0.93878,1.74643,1.71256,0.93878,1.60772,2.5672,0.93878,2.41005,0,0,0,2.12375,0.93878,1.99374,2.14124,0.93878,2.01017,1.42413,0.93878,1.33695,2.26477,0.93878,2.12613,3.59371,0.93878,3.37372
132,Ferguson,BHA,FWD,5.7,2.19409,0.92601,2.03175,2.36174,0.92601,2.187,2.185,0.92601,2.02333,2.43568,0.92601,2.25546,0,0,0,2.43486,0.92601,2.2547,2.49827,0.92601,2.31342,2.54899,0.92601,2.36038,2.58639,0.92601,2.39502,4.83267,0.92601,4.47509
133,Gilmour,BHA,MID,4.8,1.98434,0.91332,1.81232,2.14283,0.91332,1.95708,2.03223,0.91332,1.85607,2.16208,0.91332,1.97466,0,0,0,2.13989,0.91332,1.9544,2.08599,0.91332,1.90517,2.03977,0.91332,1.86295,2.22472,0.91332,2.03187,4.22047,0.91332,3.85463
134,Gross,BHA,MID,6.5,4.136,0.94116,3.89264,4.58795,0.94116,4.31801,4.18522,0.94116,3.93897,4.73011,0.94116,4.4518,0,0,0,4.6508,0.94116,4.37715,4.44984,0.94116,4.18802,4.2775,0.94116,4.02582,4.96706,0.94116,4.67481,9.08048,0.94116,8.5462
135,"João Pedro",BHA,FWD,5.2,2.97931,0.30998,0.92353,3.14218,0.63996,2.01087,2.80077,0.81635,2.2864,3.1557,0.86076,2.71631,0,0,0,3.11813,0.8738,2.72462,3.21609,0.8738,2.81022,3.29445,0.8738,2.87868,3.35223,0.8738,2.92917,6.179,0.8738,5.39921
136,Karbownik,BHA,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Kozłowski,BHA,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Lallana,BHA,MID,4.9,1.24119,0.82744,1.02701,1.38536,0.82744,1.14631,1.34427,0.82744,1.1123,1.46679,0.82744,1.21368,0,0,0,1.47381,0.82744,1.21949,1.43452,0.82744,1.18698,1.40082,0.82744,1.1591,1.53565,0.82744,1.27066,2.90439,0.82744,2.40321
139,Lamptey,BHA,DEF,3.9,0.70691,0.92726,0.6555,1.29585,0.92726,1.20159,1.17177,0.92726,1.08654,1.94493,0.92726,1.80346,0,0,0,1.56392,0.92726,1.45016,1.57931,0.92726,1.46444,0.94823,0.92726,0.87926,1.68802,0.92726,1.56524,2.55248,0.92726,2.36682
140,March,BHA,MID,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,McGill,BHA,GK,3.9,3.14345,0.002,0.00629,2.75962,0.002,0.00552,2.58059,0.002,0.00516,3.00605,0.002,0.00601,0,0,0,2.93497,0.002,0.00587,2.81524,0.002,0.00563,2.60383,0.002,0.00521,3.0319,0.002,0.00606,6.0055,0.002,0.01202
142,Milner,BHA,MID,4.8,1.42016,0.27895,0.39615,1.51507,0.5759,0.87253,1.42149,0.75944,1.07954,1.5178,0.82424,1.25104,0,0,0,1.50135,0.84856,1.27398,1.46137,0.84856,1.24006,1.42708,0.84856,1.21097,1.56426,0.84856,1.32737,2.95871,0.84856,2.51064
143,Mitoma,BHA,MID,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91491,0.01,0.02915,3.32784,0.78763,2.62112,6.14449,0.78763,4.83961
144,Moder,BHA,MID,4.4,1.08063,0.63477,0.68596,1.21404,0.63477,0.77064,1.17393,0.63477,0.74518,1.29232,0.63477,0.82033,0,0,0,1.29552,0.63477,0.82236,1.26216,0.63477,0.80118,1.23354,0.63477,0.78302,1.34804,0.63477,0.8557,2.55433,0.63477,1.62142
145,Sanchez,CHE,GK,4.5,3.34343,0.3,1.00303,3.29309,0.3,0.98793,3.27399,0.3,0.9822,3.56004,0.3,1.06801,0,0,0,2.87295,0.3,0.86188,3.38901,0.3,1.0167,3.15921,0.3,0.94776,3.05215,0.3,0.91564,9.15928,0.3,2.74779
146,Sarmiento,BHA,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Scherpen,BHA,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Steele,BHA,GK,4.2,3.44907,0.5,1.72453,3.03802,0.5,1.51901,2.8463,0.5,1.42315,3.30192,0.5,1.65096,0,0,0,3.2258,0.5,1.6129,3.09758,0.5,1.54879,2.87118,0.5,1.43559,3.3296,0.5,1.6648,6.59677,0.5,3.29839
149,Undav,BHA,FWD,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"Van Hecke",BHA,DEF,4.1,1.6,0.93704,1.49926,2.25271,0.93704,2.11088,2.04144,0.93704,1.9129,3.01146,0.93704,2.82185,0,0,0,2.50923,0.93704,2.35124,2.52913,0.93704,2.36989,1.71351,0.93704,1.60563,2.66962,0.93704,2.50154,4.27486,0.93704,4.00571
151,Veltman,BHA,DEF,4.3,1.08072,0.83466,0.90203,1.70389,0.83466,1.42217,1.58712,0.83466,1.32471,2.40685,0.83466,2.0089,0,0,0,1.99134,0.83466,1.66209,2.00785,0.83466,1.67587,1.33108,0.83466,1.111,2.12443,0.83466,1.77318,3.36567,0.83466,2.8092
152,Verbruggen,BHA,GK,4.4,3.59178,0.5,1.79589,3.11526,0.5,1.55763,2.893,0.5,1.4465,3.4212,0.5,1.7106,0,0,0,3.33295,0.5,1.66648,3.18431,0.5,1.59216,2.92185,0.5,1.46092,3.45329,0.5,1.72664,6.83419,0.5,3.4171
153,Webster,BHA,DEF,4.2,1.19237,0.39129,0.46657,1.64916,0.39129,0.64531,1.50893,0.39129,0.59043,2.12497,0.39129,0.83149,0,0,0,1.78257,0.39129,0.69751,1.7954,0.39129,0.70253,1.26977,0.39129,0.49686,1.88594,0.39129,0.73796,3.08594,0.39129,1.20752
154,Welbeck,BHA,FWD,5.7,2.15805,0.82265,1.77531,2.30174,0.82265,1.89352,2.11706,0.82265,1.74159,2.38021,0.82265,1.95807,0,0,0,2.38352,0.82265,1.9608,2.44838,0.82265,2.01415,2.50025,0.82265,2.05682,2.5385,0.82265,2.08829,4.72914,0.82265,3.89041
155,Zeqiri,BHA,FWD,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Agyei,BUR,MID,4.2,1.18227,0.00081,0.00096,1.23076,0.00081,0.001,1.21289,0.00081,0.00098,1.19985,0.00081,0.00097,1.28344,0.00081,0.00104,1.18008,0.00081,0.00095,1.27316,0.00081,0.00103,1.17121,0.00081,0.00095,1.26655,0.00081,0.00102,0,0,0
157,Al-Dakhil,BUR,DEF,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Bastien,BUR,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Benson,BUR,MID,5.2,1.8175,0.25791,0.46874,1.97992,0.25791,0.51063,1.96572,0.25791,0.50697,1.93792,0.25791,0.4998,2.11608,0.25791,0.54575,1.89578,0.25791,0.48894,2.09416,0.25791,0.5401,1.87689,0.25791,0.48406,2.08008,0.25791,0.53647,0,0,0
160,Beyer,BUR,DEF,3.9,1.47781,0.07866,0.11624,2.03238,0.30479,0.61945,1.79525,0.62925,1.12966,1.50528,0.80975,1.21891,2.01362,0.85879,1.72927,1.58411,0.87487,1.3859,2.02811,0.87487,1.77434,1.40889,0.87487,1.2326,2.03824,0.87487,1.78321,0,0,0
161,Brownhill,BUR,MID,4.7,2.07319,0.93186,1.93192,2.24089,0.93186,2.0882,2.24956,0.93186,2.09628,2.26783,0.93186,2.11331,2.46834,0.93186,2.30015,2.26232,0.93186,2.10817,2.44784,0.93186,2.28105,2.24465,0.93186,2.09171,2.43467,0.93186,2.26878,0,0,0
162,Churlinov,BUR,MID,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Cork,BUR,MID,4.8,1.53478,0.15141,0.23238,1.63991,0.15141,0.24829,1.6125,0.15141,0.24414,1.59249,0.15141,0.24111,1.72074,0.15141,0.26053,1.56216,0.15141,0.23652,1.70496,0.15141,0.25814,1.54855,0.15141,0.23446,1.69482,0.15141,0.25661,0,0,0
164,Costelloe,BUR,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Cullen,BUR,MID,5,1.7516,0.68414,1.19834,1.88811,0.68414,1.29173,1.90607,0.68414,1.30401,1.91444,0.68414,1.30974,2.05124,0.68414,1.40333,1.89459,0.68414,1.29616,2.03565,0.68414,1.39266,1.88116,0.68414,1.28697,2.02564,0.68414,1.38581,0,0,0
166,Egan-Riley,BUR,DEF,3.9,1.16596,0,0.00363,1.66344,0,0.00518,1.39566,0,0.00435,1.37836,0,0.00429,1.46707,0,0.00457,1.33457,0,0.00416,1.56383,0,0.00487,1.24993,0,0.00389,1.75536,0,0.00547,0,0,0
167,Ekdal,BUR,DEF,3.9,1.01797,0.15507,0.15786,1.4446,0.15507,0.22402,1.26218,0.15507,0.19573,1.03911,0.15507,0.16114,1.43017,0.15507,0.22178,1.09975,0.15507,0.17054,1.44132,0.15507,0.22351,0.96495,0.15507,0.14964,1.44912,0.15507,0.22472,0,0,0
168,Foster,BUR,FWD,4.7,2.04383,0.83425,1.70507,2.08347,0.83425,1.73814,2.18656,0.83425,1.82414,2.06844,0.83425,1.7256,2.2127,0.83425,1.84595,1.96107,0.83425,1.63602,2.19854,0.83425,1.83414,2.10832,0.83425,1.75887,2.40643,0.83425,2.00757,0,0,0
169,Franchi,BUR,GK,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Gudmundsson,BUR,MID,4.8,1.87996,0.70451,1.32446,2.0795,0.70451,1.46503,2.11154,0.70451,1.48761,2.11749,0.70451,1.4918,2.2921,0.70451,1.61481,2.0762,0.70451,1.46271,2.27061,0.70451,1.59968,2.05768,0.70451,1.44966,2.25681,0.70451,1.58995,0,0,0
171,McNally,BUR,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Muric,BUR,GK,4.3,3.01569,0.5,1.50784,3.05641,0.5,1.5282,3.79558,0.5,1.89779,3.13606,0.5,1.56803,3.31336,0.5,1.65668,3.34549,0.5,1.67274,2.98364,0.5,1.49182,3.0951,0.5,1.54755,3.37669,0.5,1.68834,0,0,0
173,O'Shea,BUR,DEF,4.4,1.59491,0.93894,1.49752,2.08363,0.93894,1.9564,1.97866,0.93894,1.85785,1.82182,0.93894,1.71058,2.20148,0.93894,2.06706,1.90076,0.93894,1.7847,2.21163,0.93894,2.07659,1.77808,0.93894,1.66951,2.21872,0.93894,2.08325,0,0,0
174,Obafemi,BUR,FWD,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Peacock-Farrell,BUR,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Roberts,BUR,DEF,4.3,1.62877,0,0.89195,2.19143,0,1.20006,1.88856,0,1.03421,1.869,0,1.0235,1.96933,0,1.07844,1.81947,0,0.99637,2.07877,0,1.13837,1.72374,0,0.94395,2.2954,0,1.257,0,0,0
177,Rodriguez,BUR,FWD,5.3,2.29222,0.38476,0.88196,2.36801,0.38476,0.91112,2.49847,0.38476,0.96131,2.32096,0.38476,0.89302,2.47762,0.38476,0.95329,2.15714,0.38476,0.82998,2.45959,0.38476,0.94635,2.34467,0.38476,0.90214,2.72434,0.38476,1.04822,0,0,0
178,Taylor,BUR,DEF,4,1.3879,0.91932,1.27592,1.90134,0.91932,1.74793,1.76501,0.91932,1.6226,1.57838,0.91932,1.45103,1.99723,0.91932,1.83608,1.65925,0.91932,1.52538,2.00863,0.91932,1.84656,1.52137,0.91932,1.39862,2.01661,0.91932,1.8539,0,0,0
179,Thomas,BUR,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Twine,BUR,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Vigouroux,BUR,GK,3.9,2.76822,0.00201,0.00556,2.802,0.00201,0.00562,3.41517,0.00201,0.00686,2.86807,0.00201,0.00576,3.01515,0.00201,0.00605,3.0418,0.00201,0.00611,2.74163,0.00201,0.0055,2.83409,0.00201,0.00569,3.06769,0.00201,0.00616,0,0,0
182,Vitinho,BUR,DEF,4.4,1.85968,0.93829,1.74492,2.46976,0.93829,2.31736,2.24131,0.93829,2.10301,1.98392,0.93829,1.8615,2.52407,0.93829,2.36832,2.08518,0.93829,1.95651,2.53887,0.93829,2.38221,1.90613,0.93829,1.78851,2.54923,0.93829,2.39193,0,0,0
183,Weghorst,BUR,FWD,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Zaroury,BUR,MID,4.6,1.62215,0,0.33624,1.73823,0,0.3603,1.66553,0,0.34523,1.69821,0,0.35201,1.73614,0,0.35987,1.67398,0,0.34698,1.77772,0,0.36849,1.65606,0,0.34327,1.78198,0,0.36937,0,0,0
185,Ampadu,CHE,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Andrey,CHE,MID,4.2,1.15729,0,0.01411,1.25823,0,0.01534,1.25038,0,0.01524,1.24333,0,0.01516,0,0,0,1.26388,0,0.01541,1.19151,0,0.01453,1.17787,0,0.01436,1.2423,0,0.01515,3.74695,0,0.04569
187,Arrizabalaga,CHE,GK,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Aubameyang,CHE,FWD,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Azpilicueta,CHE,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Baba,CHE,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,B.Badiashile,CHE,DEF,4.4,2.94704,0.6847,2.01783,2.21322,0.6847,1.51539,2.31334,0.6847,1.58394,2.77651,0.6847,1.90107,0,0,0,1.74661,0.6847,1.1959,2.18568,0.6847,1.49653,2.32028,0.6847,1.58869,2.23753,0.6847,1.53203,5.01288,0.6847,3.43231
