ID,Name,Team,Pos,Price,23_pts_no_prob,23_prob,23_with_prob,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
147,Scherpen,BHA,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Steele,BHA,GK,4.2,3.63066,0.7,2.54146,3.48195,0.7,2.43736,3.5001,0.7,2.45007,3.66736,0.7,2.56715,3.45463,0.7,2.41824,3.7167,0.7,2.60169,3.49249,0.7,2.44475,3.60202,0.7,2.52141,3.38701,0.7,2.37091,3.27032,0.7,2.28923,3.56211,0.7,2.49348,3.57926,0.7,2.50548,3.57578,0.7,2.50305,3.4832,0.7,2.43824,3.30031,0.7,2.31021,3.66029,0.7,2.5622,0,0,0
149,Undav,BHA,FWD,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"Van Hecke",BHA,DEF,4,2.97796,0.92331,2.74957,2.29067,0.92331,2.11499,2.6212,0.92331,2.42017,3.03903,0.92331,2.80596,2.76541,0.92331,2.55332,3.071,0.92331,2.83547,2.14483,0.92331,1.98034,1.92485,0.92331,1.77723,2.60916,0.92331,2.40905,2.57683,0.92331,2.3792,3.05324,0.92331,2.81907,2.48822,0.92331,2.29739,2.80693,0.92331,2.59165,2.70856,0.92331,2.50083,2.16092,0.92331,1.99519,2.81726,0.92331,2.6012,0,0,0
151,Veltman,BHA,DEF,4.3,0,0,0,2.19326,0.01,0.02193,2.52605,0.62279,1.57321,2.95789,0.74467,2.20265,2.63821,0.78,2.05781,2.95822,0.78,2.30742,1.98836,0.79944,1.58958,1.758,0.79944,1.40542,2.47459,0.79944,1.9783,2.44074,0.79944,1.95123,2.93963,0.79944,2.35006,2.34795,0.79944,1.87705,2.68169,0.79944,2.14386,2.57868,0.79944,2.06151,2.00521,0.79944,1.60305,2.69252,0.79944,2.15251,0,0,0
152,Verbruggen,BHA,GK,4.4,3.59083,0.3,1.07725,3.44076,0.3,1.03223,3.45908,0.3,1.03772,3.62785,0.3,1.08836,3.4132,0.3,1.02396,3.67765,0.3,1.10329,3.4514,0.3,1.03542,3.56192,0.3,1.06858,3.34497,0.3,1.00349,3.22722,0.3,0.96817,3.52166,0.3,1.0565,3.53895,0.3,1.06169,3.53545,0.3,1.06063,3.44202,0.3,1.03261,3.25747,0.3,0.97724,3.62072,0.3,1.08622,0,0,0
153,Webster,BHA,DEF,4.2,2.60141,0.57924,1.50683,1.97403,0.57924,1.14343,2.31673,0.57924,1.34194,2.74173,0.57924,1.58811,2.45373,0.57924,1.42129,2.74203,0.57924,1.58829,1.86826,0.57924,1.08217,1.66073,0.57924,0.96196,2.30632,0.57924,1.33591,2.27582,0.57924,1.31824,2.72528,0.57924,1.57858,2.19223,0.57924,1.26982,2.4929,0.57924,1.44398,2.4001,0.57924,1.39022,1.88345,0.57924,1.09096,2.50265,0.57924,1.44963,0,0,0
154,Welbeck,BHA,FWD,5.7,2.68448,0.9353,2.5108,2.84254,0.9353,2.65863,2.84496,0.9353,2.66089,2.86151,0.9353,2.67638,2.81722,0.9353,2.63495,3.26995,0.9353,3.05839,2.57128,0.9353,2.40492,2.48886,0.9353,2.32783,2.63536,0.9353,2.46486,2.55213,0.9353,2.38701,2.72008,0.9353,2.54409,2.67361,0.9353,2.50063,2.74587,0.9353,2.56821,2.75871,0.9353,2.58022,2.80581,0.9353,2.62428,2.7914,0.9353,2.61079,0,0,0
155,Zeqiri,BHA,FWD,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Agyei,BUR,MID,4.2,1.27703,0.00462,0.0059,1.14376,0.00462,0.00528,1.18383,0.00462,0.00547,1.18015,0.00462,0.00545,1.27665,0.00462,0.0059,1.19445,0.00462,0.00552,1.23166,0.00462,0.00569,1.16879,0.00462,0.0054,1.23655,0.00462,0.00571,1.19664,0.00462,0.00553,1.21319,0.00462,0.0056,1.2321,0.00462,0.00569,1.19905,0.00462,0.00554,1.2596,0.00462,0.00582,1.18859,0.00462,0.00549,1.26209,0.00462,0.00583,0,0,0
157,Al-Dakhil,BUR,DEF,3.8,2.97195,0.50002,1.48604,1.90097,0.50002,0.95053,2.40456,0.50002,1.20233,2.61259,0.50002,1.30635,2.5907,0.50002,1.2954,2.17083,0.50002,1.08546,2.54373,0.50002,1.27192,1.93368,0.50002,0.96688,2.57125,0.50002,1.28568,2.24553,0.50002,1.12281,2.2059,0.50002,1.103,2.3231,0.50002,1.1616,2.14977,0.50002,1.07493,2.44359,0.50002,1.22185,2.0413,0.50002,1.02069,2.68907,0.50002,1.34459,0,0,0
158,Bastien,BUR,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Benson,BUR,MID,5.2,2.31096,0.09031,0.20871,2.00162,0.09031,0.18077,2.09462,0.09031,0.18917,2.0861,0.09031,0.1884,2.31008,0.09031,0.20863,2.11927,0.09031,0.1914,2.20564,0.09031,0.1992,2.05973,0.09031,0.18602,2.217,0.09031,0.20023,2.12435,0.09031,0.19186,2.16278,0.09031,0.19533,2.20668,0.09031,0.19929,2.12996,0.09031,0.19236,2.2705,0.09031,0.20506,2.10568,0.09031,0.19017,2.27628,0.09031,0.20558,0,0,0
160,Beyer,BUR,DEF,4,2.76685,0.62931,1.74122,1.66127,0.82026,1.36268,2.34706,0.87909,2.06327,2.66757,0.90304,2.40891,2.73253,0.90304,2.46757,2.25628,0.90304,2.03751,2.67925,0.90304,2.41947,1.9873,0.90304,1.7946,2.71047,0.90304,2.44765,2.34102,0.90304,2.11403,2.29606,0.90304,2.07343,2.429,0.90304,2.19348,2.23239,0.90304,2.01594,2.56567,0.90304,2.3169,2.10936,0.90304,1.90483,2.84411,0.90304,2.56833,0,0,0
161,Brownhill,BUR,MID,4.7,3.3383,0.94004,3.13815,2.9384,0.94004,2.76222,3.10468,0.94004,2.91854,3.11401,0.94004,2.92731,3.44156,0.94004,3.23522,3.16462,0.94004,2.97489,3.28999,0.94004,3.09273,3.07821,0.94004,2.89366,3.30647,0.94004,3.10823,3.172,0.94004,2.98182,3.22778,0.94004,3.03426,3.29148,0.94004,3.09414,3.18014,0.94004,2.98947,3.38412,0.94004,3.18122,3.1449,0.94004,2.95635,3.3925,0.94004,3.1891,0,0,0
162,Churlinov,BUR,MID,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Cork,BUR,MID,4.8,1.78842,0.36898,0.6599,1.59259,0.36898,0.58764,1.69259,0.36898,0.62454,1.71794,0.36898,0.63389,1.88264,0.36898,0.69466,1.74234,0.36898,0.64289,1.80585,0.36898,0.66633,1.69856,0.36898,0.62674,1.81419,0.36898,0.66941,1.74607,0.36898,0.64427,1.77433,0.36898,0.6547,1.8066,0.36898,0.66661,1.7502,0.36898,0.64579,1.85353,0.36898,0.68392,1.73234,0.36898,0.6392,1.85778,0.36898,0.68549,0,0,0
164,Costelloe,BUR,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Cullen,BUR,MID,5,2.38713,0.29992,0.71595,2.08837,0.29992,0.62634,2.1943,0.29992,0.65811,2.19811,0.29992,0.65926,2.4234,0.29992,0.72682,2.23147,0.29992,0.66926,2.31835,0.29992,0.69532,2.17159,0.29992,0.6513,2.32977,0.29992,0.69874,2.23659,0.29992,0.6708,2.27524,0.29992,0.68239,2.31939,0.29992,0.69563,2.24223,0.29992,0.67249,2.38359,0.29992,0.71488,2.21781,0.29992,0.66516,2.3894,0.29992,0.71663,0,0,0
166,Egan-Riley,BUR,DEF,3.9,1.73982,0.00396,0.00689,0.96234,0.00396,0.00381,1.41344,0.00396,0.00559,1.63392,0.00396,0.00647,1.67861,0.00396,0.00664,1.351,0.00396,0.00535,1.64196,0.00396,0.0065,1.16596,0.00396,0.00462,1.66344,0.00396,0.00658,1.40929,0.00396,0.00558,1.37836,0.00396,0.00546,1.46981,0.00396,0.00582,1.33457,0.00396,0.00528,1.56383,0.00396,0.00619,1.24993,0.00396,0.00495,1.75536,0.00396,0.00695,0,0,0
167,Ekdal,BUR,DEF,3.9,1.87528,0.76496,1.4345,1.06963,0.76496,0.81822,1.56257,0.76496,1.19529,1.81174,0.76496,1.3859,1.86344,0.76496,1.42545,1.51716,0.76496,1.16056,1.8247,0.76496,1.39582,1.32158,0.76496,1.01095,1.8474,0.76496,1.41318,1.57877,0.76496,1.20769,1.54609,0.76496,1.18269,1.64275,0.76496,1.25663,1.49979,0.76496,1.14727,1.74212,0.76496,1.33264,1.41034,0.76496,1.07884,1.94457,0.76496,1.48751,0,0,0
168,Foster,BUR,FWD,4.7,3.07996,0.91821,2.82805,2.43485,0.91821,2.2357,2.53053,0.91821,2.32356,2.58968,0.91821,2.37787,2.72662,0.91821,2.50361,2.85925,0.91821,2.62539,2.72016,0.91821,2.49768,2.65383,0.91821,2.43677,2.82368,0.91821,2.59273,2.99607,0.91821,2.75101,2.85536,0.91821,2.62182,2.85637,0.91821,2.62274,2.66597,0.91821,2.44792,3.01132,0.91821,2.76502,2.87553,0.91821,2.64034,3.25298,0.91821,2.98691,0,0,0
169,Franchi,BUR,GK,3.9,3.34501,0.002,0.00669,3.12959,0.002,0.00626,2.85201,0.002,0.0057,3.04851,0.002,0.0061,3.05795,0.002,0.00612,2.84458,0.002,0.00569,2.9339,0.002,0.00587,2.85488,0.002,0.00571,2.97958,0.002,0.00596,3.2926,0.002,0.00659,3.0384,0.002,0.00608,3.0443,0.002,0.00609,3.15603,0.002,0.00631,2.90462,0.002,0.00581,3.02911,0.002,0.00606,3.22557,0.002,0.00645,0,0,0
170,Gudmundsson,BUR,MID,4.8,2.83491,0.88877,2.51959,2.4598,0.88877,2.1862,2.60543,0.88877,2.31563,2.60256,0.88877,2.31308,2.91796,0.88877,2.5934,2.66139,0.88877,2.36537,2.77754,0.88877,2.46859,2.58134,0.88877,2.29422,2.7928,0.88877,2.48216,2.66823,0.88877,2.37145,2.7199,0.88877,2.41737,2.77892,0.88877,2.46983,2.67577,0.88877,2.37815,2.86474,0.88877,2.5461,2.64312,0.88877,2.34913,2.87251,0.88877,2.55301,0,0,0
171,McNally,BUR,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Muric,BUR,GK,4.3,3.64403,0.06004,0.21878,3.39576,0.06004,0.20388,3.07584,0.06004,0.18467,3.3023,0.06004,0.19826,3.31319,0.06004,0.19892,3.06728,0.06004,0.18415,3.17022,0.06004,0.19033,3.07915,0.06004,0.18487,3.22287,0.06004,0.1935,3.58362,0.06004,0.21515,3.29065,0.06004,0.19757,3.29746,0.06004,0.19797,3.42623,0.06004,0.2057,3.13647,0.06004,0.18831,3.27995,0.06004,0.19692,3.50637,0.06004,0.21052,0,0,0
173,O'Shea,BUR,DEF,4.4,2.97104,0.92886,2.75969,1.96052,0.92886,1.82105,2.62429,0.92886,2.4376,2.95798,0.92886,2.74755,3.02844,0.92886,2.813,2.57881,0.92886,2.39536,2.97814,0.92886,2.76629,2.32485,0.92886,2.15947,3.00761,0.92886,2.79366,2.65881,0.92886,2.46966,2.61636,0.92886,2.43024,2.74188,0.92886,2.54682,2.55625,0.92886,2.37441,2.87091,0.92886,2.66668,2.44009,0.92886,2.26651,3.13378,0.92886,2.91085,0,0,0
174,Obafemi,BUR,FWD,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Peacock-Farrell,BUR,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Roberts,BUR,DEF,4.3,2.05452,0.69731,1.43264,1.25397,0.69731,0.87441,1.84845,0.69731,1.28895,2.15482,0.69731,1.50258,2.22585,0.69731,1.55212,1.85386,0.69731,1.29272,2.18424,0.69731,1.5231,1.64375,0.69731,1.14621,2.20862,0.69731,1.5401,1.92004,0.69731,1.33887,1.88493,0.69731,1.31439,1.98877,0.69731,1.38679,1.8352,0.69731,1.27971,2.09552,0.69731,1.46123,1.7391,0.69731,1.21269,2.31301,0.69731,1.61289,0,0,0
177,Rodriguez,BUR,FWD,5.3,3.39274,0.35925,1.21883,2.61882,0.35925,0.94081,2.6853,0.35925,0.96469,2.71659,0.35925,0.97593,2.85347,0.35925,1.0251,3.00114,0.35925,1.07815,2.84629,0.35925,1.02252,2.77243,0.35925,0.99599,2.96154,0.35925,1.06393,3.15347,0.35925,1.13288,2.99681,0.35925,1.0766,2.99793,0.35925,1.077,2.78595,0.35925,1.00085,3.17045,0.35925,1.13898,3.01927,0.35925,1.08467,3.43951,0.35925,1.23564,0,0,0
178,Taylor,BUR,DEF,4,2.67985,0.56675,1.51882,1.68338,0.75093,1.2641,2.31119,0.82552,1.90792,2.60417,0.85406,2.22412,2.66355,0.85406,2.27483,2.22821,0.85406,1.90302,2.61485,0.85406,2.23324,1.98232,0.85406,1.69302,2.64338,0.85406,2.25761,2.30566,0.85406,1.96917,2.26457,0.85406,1.93408,2.38609,0.85406,2.03787,2.20637,0.85406,1.88437,2.51102,0.85406,2.14456,2.0939,0.85406,1.78832,2.76554,0.85406,2.36194,0,0,0
179,Thomas,BUR,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Twine,BUR,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Vigouroux,BUR,GK,3.9,3.34501,0.00204,0.00684,3.12959,0.00204,0.0064,2.85201,0.00204,0.00583,3.04851,0.00204,0.00623,3.05795,0.00204,0.00625,2.84458,0.00204,0.00581,2.9339,0.00204,0.006,2.85488,0.00204,0.00584,2.97958,0.00204,0.00609,3.2926,0.00204,0.00673,3.0384,0.00204,0.00621,3.0443,0.00204,0.00622,3.15603,0.00204,0.00645,2.90462,0.00204,0.00594,3.02911,0.00204,0.00619,3.22557,0.00204,0.00659,0,0,0
182,Vitinho,BUR,DEF,4.4,3.11927,0.92536,2.88646,2.08315,0.92536,1.92767,2.77038,0.92536,2.56361,3.10749,0.92536,2.87555,3.18021,0.92536,2.94285,2.71677,0.92536,2.514,3.12837,0.92536,2.89488,2.45502,0.92536,2.27178,3.15875,0.92536,2.92298,2.79923,0.92536,2.5903,2.75548,0.92536,2.54982,2.88485,0.92536,2.66953,2.69353,0.92536,2.49249,3.01784,0.92536,2.7926,2.5738,0.92536,2.3817,3.28879,0.92536,3.04332,0,0,0
183,Weghorst,BUR,FWD,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Zaroury,BUR,MID,4.6,1.73523,0.26354,0.4573,1.52748,0.26354,0.40255,1.6191,0.26354,0.42669,1.63517,0.26354,0.43093,1.82425,0.26354,0.48076,1.68227,0.26354,0.44334,1.74654,0.26354,0.46028,1.63797,0.26354,0.43167,1.75499,0.26354,0.46251,1.68605,0.26354,0.44434,1.71465,0.26354,0.45187,1.74731,0.26354,0.46048,1.69023,0.26354,0.44544,1.7948,0.26354,0.473,1.67216,0.26354,0.44068,1.7991,0.26354,0.47413,0,0,0
185,Ampadu,CHE,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Andrey,CHE,MID,4.3,1.24455,0.01219,0.01518,1.18808,0.01219,0.01449,1.12945,0.01219,0.01377,0,0,0,1.22152,0.01219,0.01489,1.26763,0.01219,0.01546,1.15729,0.01219,0.01411,1.25823,0.01219,0.01534,1.2517,0.01219,0.01526,1.2401,0.01219,0.01512,1.26388,0.01219,0.01541,1.19636,0.01219,0.01459,1.17787,0.01219,0.01436,1.2423,0.01219,0.01515,1.2393,0.01219,0.01511,1.28471,0.01219,0.01566,1.21657,0.01219,0.01483
187,Arrizabalaga,CHE,GK,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Aubameyang,CHE,FWD,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Azpilicueta,CHE,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Baba,CHE,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,B.Badiashile,CHE,DEF,4.4,2.7909,0.59587,1.663,2.79311,0.59587,1.66432,1.95296,0.59587,1.16371,0,0,0,2.54128,0.59587,1.51427,2.75493,0.59587,1.64157,2.1268,0.59587,1.26729,3.12865,0.59587,1.86426,2.77882,0.59587,1.65581,2.61434,0.59587,1.5578,3.04103,0.59587,1.81205,2.36508,0.59587,1.40927,2.40501,0.59587,1.43307,2.88252,0.59587,1.7176,3.00205,0.59587,1.78882,2.92658,0.59587,1.74385,2.54089,0.59587,1.51403
192,Bettinelli,CHE,GK,4,2.90323,0.002,0.00581,2.9704,0.002,0.00594,2.59391,0.002,0.00519,0,0,0,2.87407,0.002,0.00575,2.83017,0.002,0.00566,2.90337,0.002,0.00581,2.9582,0.002,0.00592,3.09695,0.002,0.00619,2.96631,0.002,0.00593,3.10271,0.002,0.00621,3.03819,0.002,0.00608,2.83634,0.002,0.00567,3.19546,0.002,0.00639,3.04384,0.002,0.00609,2.9796,0.002,0.00596,2.86862,0.002,0.00574
193,Broja,CHE,FWD,4.9,2.21125,0.77158,1.70616,2.06372,0.77158,1.59232,2.0459,0.77158,1.57858,0,0,0,2.1277,0.77158,1.64169,2.41971,0.77158,1.867,2.0038,0.77158,1.54609,2.44996,0.77158,1.89034,2.24807,0.77158,1.73457,2.29303,0.77158,1.76926,2.2997,0.77158,1.7744,2.20961,0.77158,1.70489,2.15932,0.77158,1.66608,2.32595,0.77158,1.79466,2.22539,0.77158,1.71706,2.18696,0.77158,1.68742,2.24653,0.77158,1.73337
194,Chalobah,CHE,DEF,4.3,2.01624,0.29317,0.5911,1.98216,0.60525,1.19971,1.31624,0.78687,1.03571,0,0,0,1.75339,0.8402,1.47319,1.90121,0.85829,1.63179,1.41617,0.85829,1.21548,2.1898,0.85829,1.87948,1.91966,0.85829,1.64763,1.79265,0.85829,1.53861,2.12214,0.85829,1.82141,1.60017,0.85829,1.37341,1.631,0.85829,1.39987,1.99974,0.85829,1.71636,2.09204,0.85829,1.79558,2.03376,0.85829,1.74556,1.73593,0.85829,1.48993
195,Chilwell,CHE,DEF,5.4,2.21634,0.9302,2.06164,2.23746,0.9302,2.08129,1.41269,0.9302,1.31409,0,0,0,2.06468,0.9302,1.92057,2.28896,0.9302,2.1292,1.6396,0.9302,1.52516,2.67531,0.9302,2.48858,2.31366,0.9302,2.15217,2.14362,0.9302,1.994,2.58473,0.9302,2.40432,1.88594,0.9302,1.7543,1.92722,0.9302,1.7927,2.42087,0.9302,2.25189,2.54444,0.9302,2.36684,2.46641,0.9302,2.29426,2.06769,0.9302,1.92337
196,Chukwuemeka,CHE,MID,4.2,0.98425,0.8967,0.88258,0.97039,0.8967,0.87015,0.95443,0.8967,0.85584,0,0,0,1.0855,0.8967,0.97337,1.1433,0.8967,1.02519,1.03564,0.8967,0.92865,1.13413,0.8967,1.01697,1.12775,0.8967,1.01125,1.11643,0.8967,1.0011,1.13964,0.8967,1.02191,1.07376,0.8967,0.96284,1.05572,0.8967,0.94666,1.11858,0.8967,1.00303,1.11565,0.8967,1.0004,1.15996,0.8967,1.04013,1.09348,0.8967,0.98052
197,Colwill,CHE,DEF,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Cucurella,CHE,DEF,4.8,0,0,0,0,0,0,0,0,0,0,0,0,2.23888,0.01,0.02239,2.42362,0.68609,1.66282,1.81744,0.80397,1.46117,2.78427,0.83181,2.31598,2.44667,0.83181,2.03516,2.28794,0.84619,1.93603,2.69972,0.84619,2.28447,2.0474,0.84619,1.73249,2.08593,0.84619,1.76509,2.54675,0.84619,2.15503,2.6621,0.84619,2.25264,2.58927,0.84619,2.19101,2.21706,0.84619,1.87605
199,Enzo,CHE,MID,4.8,3.95436,0.9202,3.63882,3.71296,0.9202,3.41668,3.45995,0.9202,3.18386,0,0,0,3.96542,0.9202,3.64899,4.24214,0.9202,3.90364,3.64809,0.9202,3.35698,4.19154,0.9202,3.85707,4.15637,0.9202,3.8247,4.0939,0.9202,3.76722,4.22194,0.9202,3.88505,3.85844,0.9202,3.55055,3.7589,0.9202,3.45895,4.10577,0.9202,3.77814,4.0896,0.9202,3.76326,4.33407,0.9202,3.98823,3.96724,0.9202,3.65067
200,D.D.Fofana,BUR,FWD,5,1.5859,0.88086,1.39695,1.17707,0.88086,1.03683,1.22211,0.88086,1.0765,1.24814,0.88086,1.09943,1.3312,0.88086,1.1726,1.41095,0.88086,1.24285,1.32732,0.88086,1.16918,1.28743,0.88086,1.13405,1.38956,0.88086,1.22401,1.49322,0.88086,1.31531,1.40861,0.88086,1.24079,1.40922,0.88086,1.24132,1.29473,0.88086,1.14047,1.50239,0.88086,1.32339,1.42074,0.88086,1.25147,1.6477,0.88086,1.45139,0,0,0
201,W.Fofana,CHE,DEF,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Gallagher,CHE,MID,5.4,3.18917,0.93844,2.99285,2.99349,0.93844,2.80921,2.81304,0.93844,2.63987,0,0,0,3.24786,0.93844,3.04792,3.47868,0.93844,3.26453,3.01961,0.93844,2.83372,3.43958,0.93844,3.22784,3.41239,0.93844,3.20233,3.36412,0.93844,3.15703,3.46307,0.93844,3.24989,3.18216,0.93844,2.98627,3.10524,0.93844,2.91408,3.37329,0.93844,3.16563,3.3608,0.93844,3.15391,3.54972,0.93844,3.3312,3.26624,0.93844,3.06517
203,Gusto,CHE,DEF,4.2,2.3657,0.86968,2.0574,2.32661,0.86968,2.0234,1.53797,0.86968,1.33754,0,0,0,2.10974,0.86968,1.8348,2.30411,0.86968,2.00383,1.69212,0.86968,1.4716,2.66822,0.86968,2.3205,2.32738,0.86968,2.02408,2.16712,0.86968,1.8847,2.58285,0.86968,2.24625,1.92428,0.86968,1.67351,1.96318,0.86968,1.70734,2.42842,0.86968,2.11195,2.54488,0.86968,2.21323,2.47134,0.86968,2.14928,2.09557,0.86968,1.82247
204,Hall,NEW,DEF,4.3,2.14672,0.64306,1.38047,2.07942,0.64306,1.33719,2.06773,0.64306,1.32967,1.49654,0.64306,0.96236,2.07471,0.64306,1.33416,1.5212,0.64306,0.97822,2.04187,0.64306,1.31304,2.05881,0.64306,1.32393,2.17674,0.64306,1.39977,1.94173,0.64306,1.24865,1.80463,0.64306,1.16048,1.70879,0.64306,1.09885,2.33914,0.64306,1.5042,2.16332,0.64306,1.39114,1.75753,0.64306,1.13019,1.82145,0.64306,1.1713,0,0,0
205,Hudson-Odoi,NFO,MID,4.7,2.02295,0.89232,1.80512,2.16769,0.89232,1.93428,2.16342,0.89232,1.93046,2.04925,0.89232,1.82858,2.13514,0.89232,1.90523,2.11472,0.89232,1.88701,2.18175,0.89232,1.94681,2.18179,0.89232,1.94685,2.29923,0.89232,2.05164,2.11506,0.89232,1.88731,2.21493,0.89232,1.97642,2.13181,0.89232,1.90226,2.05751,0.89232,1.83596,2.20567,0.89232,1.96816,2.1713,0.89232,1.93749,2.14383,0.89232,1.91298,0,0,0
206,James,CHE,DEF,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Lukaku,CHE,FWD,6.8,3.39528,0,1.45273,3.18595,0,1.36316,2.93575,0,1.25611,0,0,0,3.13732,0,1.34236,3.02785,0,1.29552,3.35546,0,1.43569,3.09206,0,1.32299,3.32765,0,1.42379,3.37617,0,1.44455,3.43907,0,1.47146,3.45952,0,1.48022,3.09463,0,1.32409,3.3088,0,1.41572,3.4291,0,1.4672,3.36412,0,1.4394,3.38786,0,1.44955
208,Madueke,CHE,MID,5.3,2.17269,0.79457,1.72635,2.06259,0.79457,1.63887,1.9768,0.79457,1.5707,0,0,0,2.26467,0.79457,1.79943,2.40865,0.79457,1.91384,2.13281,0.79457,1.69466,2.38515,0.79457,1.89517,2.36882,0.79457,1.88219,2.33981,0.79457,1.85914,2.39927,0.79457,1.90639,2.23048,0.79457,1.77227,2.18426,0.79457,1.73555,2.34533,0.79457,1.86352,2.33782,0.79457,1.85756,2.45133,0.79457,1.94775,2.281,0.79457,1.81241
