chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,previous_gw,current_gw,next_gw,position,team_name
100.0,100.0,223434,0,0,-2,2,0,2,0.0,0.5,0,Igor Julio,0.0,606,False,,2023-12-29T00:00:11.103432Z,4.3,223434.jpg,1.1,dos Santos de Paulo,0.1,False,,a,5,36,13,17880,4,23188,5,0.0,3.0,Igor,710,0,0,0,14,0,0,0,3,0,0,1,126,133.4,67.3,10.0,21.1,9,0.10,0.18,0.28,12.53,279,109,274,87,401,143,327,118,,,,,,,0.01,0.0,0.02,0.03,1.59,1.77,606,145,456,195,407,140,402,155,1.14,0.0,21,22,23,DEF,Brighton
,,532529,0,0,0,0,0,3,2.0,2.5,0,Jack,2.0,621,False,,,4.5,532529.jpg,3.3,Hinshelwood,0.1,False,,a,5,36,33,22648,9,10533,4,0.4,7.3,Hinshelwood,706,2,0,2,14,0,0,0,1,0,0,5,116,149.0,110.8,207.0,46.7,7,2.03,0.35,2.38,12.47,263,108,191,118,97,65,189,95,,,,,,,0.26,0.0,0.04,0.3,1.59,1.78,469,278,92,28,115,56,368,119,0.89,0.25,21,22,23,MID,Brighton
,,535301,0,0,0,0,0,3,0.0,0.5,0,Carlos,0.0,690,False,,,4.5,535301.jpg,1.1,Baleba,0.1,False,,a,5,36,13,16416,0,12786,0,0.0,2.9,Baleba,550,0,0,0,14,0,0,0,3,0,0,0,73,96.4,69.2,24.0,19.0,7,0.40,0.08,0.47,10.59,317,135,266,148,350,176,339,152,,,,,,,0.07,0.0,0.01,0.08,1.73,2.29,472,280,624,237,411,189,513,179,1.15,0.0,21,22,23,MID,Brighton
0.0,0.0,465607,0,0,-1,1,0,3,0.0,0.0,0,Anssumane,0.0,700,False,Lack of match fitness - Expected back 03 Feb,2023-11-25T19:00:10.816004Z,6.4,465607.jpg,2.3,Fati Vieira,0.3,False,,i,5,36,21,178075,0,166017,6,0.0,3.3,Ansu Fati,286,2,0,1,6,0,0,0,1,0,0,1,55,97.0,54.5,176.0,32.7,2,2.73,0.29,3.02,3.83,316,134,298,161,121,78,258,125,,,,,,,0.86,0.0,0.09,0.95,1.21,1.89,54,32,770,334,261,113,272,88,0.63,0.31,21,22,23,MID,Brighton
,,574402,0,0,0,0,0,4,0.0,0.5,0,Mark,0.0,741,False,,,4.5,574402.jpg,0.0,O’Mahony,0.0,False,,a,5,36,0,3609,2,2565,0,0.0,0.0,O’Mahony,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,734,87,732,90,727,90,739,90,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,480,90,631,68,738,90,619,85,0.0,0.0,21,22,23,FWD,Brighton
,,475480,0,0,0,0,0,3,0.3,0.8,0,Benicio,0.3,742,False,,,4.5,475480.jpg,1.0,Baker-Boaitey,0.0,False,,a,5,36,3,584,0,378,0,0.1,0.7,Baker-Boaitey,13,0,0,0,0,0,0,0,0,0,0,0,9,3.6,1.3,0.0,0.4,0,0.00,0.03,0.03,0.11,477,215,444,218,682,274,488,223,,,,,,,0.0,0.0,0.21,0.21,0.76,0.0,426,245,288,138,450,205,736,304,0.0,0.0,21,22,23,MID,Brighton
,,514154,0,0,0,0,0,2,0.0,0.5,0,Ben,0.0,746,False,,,4.0,514154.jpg,0.0,Jackson,0.0,False,,a,5,36,0,2484,1,1352,2,0.0,0.0,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,596,228,582,226,551,214,601,228,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,723,217,406,159,608,225,597,215,0.0,0.0,21,22,23,DEF,Brighton
,,532528,0,0,-1,1,0,3,0.0,0.5,0,Joshua,0.0,747,False,,,4.4,532528.jpg,0.0,Duffus,0.0,False,,a,5,36,0,355,0,234,0,0.0,0.0,Duffus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,657,255,649,257,631,252,662,257,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,572,322,522,181,667,262,749,314,0.0,0.0,21,22,23,MID,Brighton
,,513836,0,0,0,0,0,2,0.0,0.5,0,Leigh,0.0,753,False,,,4.0,513836.jpg,0.0,Kavanagh,0.0,False,,a,5,36,0,580,1,389,0,0.0,0.0,Kavanagh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,595,227,581,225,550,213,600,227,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,722,216,405,158,607,224,675,235,0.0,0.0,21,22,23,DEF,Brighton
,,500052,0,0,0,0,0,3,0.0,0.5,0,Luca,0.0,755,False,,,4.5,500052.jpg,0.0,Barrington,0.0,False,,a,5,36,0,208,0,135,0,0.0,0.0,Barrington,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,711,290,706,289,700,288,716,292,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,447,262,601,221,716,293,757,320,0.0,0.0,21,22,23,MID,Brighton
,,491598,0,0,0,0,0,3,0.0,0.5,0,Cameron,0.0,786,False,,,4.5,491598.jpg,0.0,Peupion,0.0,False,,a,5,36,0,9,0,0,0,0.0,0.0,Peupion,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,705,284,700,283,693,282,710,286,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,439,255,595,215,710,287,791,343,0.0,0.0,21,22,23,MID,Brighton
,,578614,0,0,-3,3,0,3,0.0,-1.0,0,Enock,0.0,156,False,,,4.2,578614.jpg,0.0,Agyei,0.2,False,,a,6,90,0,35008,12,36396,4,0.0,0.0,Agyei,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,612,229,601,232,576,224,617,232,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,642,343,433,143,625,239,320,99,0.0,0.0,21,22,23,MID,Burnley
100.0,100.0,487968,0,0,-2,2,0,2,1.0,0.0,0,Ameen,1.0,157,False,,2023-10-18T22:00:08.810786Z,3.8,487968.jpg,1.0,Al-Dakhil,0.9,False,,a,6,90,12,149219,120,112598,14,0.3,3.2,Al-Dakhil,965,0,0,0,23,1,0,0,1,0,0,0,107,146.2,41.9,47.0,23.5,11,0.32,0.48,0.80,18.88,267,105,326,108,274,83,317,114,,,,,,,0.03,0.0,0.04,0.07,1.76,2.15,790,255,144,46,416,143,189,72,1.03,0.0,21,22,23,DEF,Burnley
0.0,0.0,189776,0,0,-1,1,0,3,0.0,0.0,0,Samuel,0.0,158,False,Has joined Kasimpasa S.K. on loan,2023-09-18T10:36:05.969054Z,4.9,189776.jpg,0.0,Bastien,0.0,False,,u,6,90,0,326,0,2665,0,0.0,0.0,Bastien,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,754,319,751,318,748,317,755,319,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,231,149,683,275,755,319,658,258,0.0,0.0,21,22,23,MID,Burnley
100.0,100.0,183751,0,0,-3,3,0,3,0.0,-1.0,0,Manuel Benson,0.0,159,False,,2023-09-27T09:00:08.265496Z,5.2,183751.jpg,1.0,Hedilazio,0.1,False,,a,6,90,4,2151,0,15889,0,0.0,0.8,Benson,73,0,0,0,3,0,0,0,0,0,0,0,11,8.0,9.1,22.0,4.0,1,0.03,0.02,0.05,3.36,463,207,417,206,359,181,444,203,,,,,,,0.04,0.0,0.02,0.06,4.14,3.7,156,97,726,307,478,225,487,165,1.23,0.0,21,22,23,MID,Burnley
75.0,75.0,241231,0,0,0,0,1,2,0.0,-0.8,0,Jordan,0.0,160,False,Knock - 75% chance of playing,2024-01-02T08:30:10.683233Z,4.0,241231.jpg,2.0,Beyer,1.3,False,,d,6,90,30,100754,2,392917,16,0.0,7.5,Beyer,1234,0,1,2,23,0,0,0,6,0,0,4,236,330.8,46.1,35.0,41.3,15,0.56,0.19,0.75,20.87,95,36,318,103,305,96,210,61,,,,,,,0.04,0.0,0.01,0.05,1.52,1.68,680,187,368,134,290,98,165,65,1.09,0.15,21,22,23,DEF,Burnley
,,172782,0,0,-3,3,0,3,1.0,0.0,0,Josh,1.0,161,False,,,4.7,172782.jpg,2.6,Brownhill,0.2,False,,a,6,90,52,59513,7,65521,9,0.2,11.1,Brownhill,1589,3,0,2,32,0,0,0,2,0,0,0,272,307.4,278.2,138.0,72.6,17,0.95,1.36,2.31,27.14,112,43,70,52,147,91,100,66,4.0,,3.0,,,,0.05,0.0,0.08,0.13,1.54,1.81,312,202,163,72,210,90,304,97,0.96,0.11,21,22,23,MID,Burnley
0.0,0.0,250735,0,0,-1,1,0,3,0.0,0.0,0,Darko,0.0,162,False,On loan to Schalke 04 until the end of the season,2024-01-24T07:59:45.301572Z,4.4,250735.jpg,0.0,Churlinov,0.0,False,,u,6,90,0,1360,0,3808,1,0.0,0.0,Churlinov,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,646,247,637,249,615,241,650,249,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,542,304,501,168,659,256,632,241,0.0,0.0,21,22,23,MID,Burnley
100.0,100.0,40145,0,0,-2,2,0,3,0.5,-0.5,0,Jack,0.5,163,False,,2023-11-23T20:00:09.981535Z,4.8,40145.jpg,1.0,Cork,0.0,False,,a,6,90,2,762,1,2749,0,0.1,0.4,Cork,17,0,0,0,0,0,0,0,0,0,0,0,5,3.0,1.1,2.0,0.6,0,0.00,0.01,0.01,0.13,484,219,445,219,443,222,481,219,,,,,,,0.0,0.0,0.05,0.05,0.69,0.0,264,170,250,118,467,216,630,240,0.0,0.0,21,22,23,MID,Burnley
0.0,0.0,530873,0,0,0,0,0,3,0.0,0.0,0,Dara,0.0,164,False,Season long loan to St Johnstone,2023-08-17T06:12:47.501520Z,4.5,530873.jpg,0.0,Costelloe,0.0,False,,u,6,90,0,101,0,2902,0,0.0,0.0,Costelloe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,724,301,721,301,715,300,729,303,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,464,276,618,235,728,303,690,275,0.0,0.0,21,22,23,MID,Burnley
100.0,100.0,172567,0,0,0,0,0,3,1.0,0.0,0,Josh,1.0,165,False,,2023-12-04T16:30:09.492483Z,5.0,172567.jpg,1.7,Cullen,0.1,False,,a,6,90,20,7395,0,10661,1,0.2,4.0,Cullen,934,0,1,0,25,0,0,0,5,0,0,0,133,158.0,137.8,20.0,31.6,11,0.08,0.90,0.98,19.76,257,104,166,107,363,184,267,129,,,,,,,0.01,0.0,0.09,0.1,1.9,2.41,188,114,177,82,345,150,512,178,1.06,0.0,21,22,23,MID,Burnley
,,432711,0,0,-1,1,0,2,0.0,-1.0,0,CJ,0.0,166,False,,,3.9,432711.jpg,0.0,Egan-Riley,0.2,False,,a,6,90,0,23040,0,22313,1,0.0,0.0,Egan-Riley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,522,185,508,183,473,167,526,184,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,772,244,324,108,534,182,315,123,0.0,0.0,21,22,23,DEF,Burnley
100.0,100.0,478969,0,0,-1,1,0,2,1.0,0.0,0,Hjalmar,1.0,167,False,,2023-12-26T00:00:09.124123Z,3.9,478969.jpg,1.2,Ekdal,0.1,False,,a,6,90,5,9910,7,21619,1,0.3,1.3,Ekdal,195,0,0,0,2,0,0,0,1,0,0,0,30,23.8,12.8,6.0,4.2,2,0.04,0.01,0.05,2.82,426,156,405,148,414,149,442,157,,,,,,,0.02,0.0,0.0,0.02,1.3,0.92,777,248,146,47,398,137,384,147,0.92,0.0,21,22,23,DEF,Burnley
100.0,100.0,435973,0,0,-2,2,0,4,1.0,0.0,0,Lyle,1.0,168,False,,2024-01-06T22:30:09.674297Z,4.8,435973.jpg,4.1,Foster,0.5,False,,a,6,90,49,270802,5,266813,12,0.2,10.2,Foster,982,4,3,2,24,0,0,0,0,1,0,4,154,253.2,138.8,220.0,61.2,11,1.94,0.56,2.50,20.15,157,15,163,24,87,30,135,28,,,,,,,0.18,0.0,0.05,0.23,1.85,2.2,289,60,167,22,51,10,229,40,1.01,0.18,21,22,23,FWD,Burnley
,,493347,0,0,-1,1,0,1,0.0,-1.0,0,Denis,0.0,169,False,,,3.9,493347.jpg,0.0,Franchi,0.1,False,,a,6,90,0,10393,0,13547,0,0.0,0.0,Franchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,528,53,514,37,480,27,532,53,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,780,87,330,45,540,53,370,54,0.0,0.0,21,22,23,GKP,Burnley
100.0,100.0,60586,0,0,-2,2,0,3,1.5,0.5,0,Jóhann Berg,1.5,170,False,,2023-12-19T18:00:09.313020Z,4.8,60586.jpg,1.9,Gudmundsson,0.0,False,,a,6,90,27,3694,0,6493,0,0.3,5.6,Gudmundsson,826,0,2,2,14,0,0,0,2,0,0,0,119,141.0,371.3,97.0,61.1,10,0.87,1.85,2.72,11.87,271,111,39,32,192,109,136,77,2.0,,2.0,,,,0.09,0.0,0.2,0.29,1.29,1.53,268,173,119,45,313,131,592,221,1.09,0.22,21,22,23,MID,Burnley
0.0,0.0,483391,0,0,0,0,0,2,0.0,0.0,0,Luke,0.0,171,False,Season long loan to Stoke City,2023-08-04T09:35:51.951556Z,4.0,483391.jpg,0.0,McNally,0.0,False,,u,6,90,0,0,0,1750,0,0.0,0.0,McNally,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,586,220,572,218,541,206,591,220,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,712,208,396,151,598,217,678,237,0.0,0.0,21,22,23,DEF,Burnley
100.0,100.0,232917,0,0,-2,2,0,1,0.0,-1.0,0,Arijanet,0.0,172,False,,2023-11-23T20:00:10.046521Z,4.3,232917.jpg,0.0,Muric,0.1,False,,a,6,90,0,2064,0,17746,0,0.0,0.0,Muric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,623,86,613,72,591,64,628,86,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,608,31,458,78,636,86,382,55,0.0,0.0,21,22,23,GKP,Burnley
,,216616,0,0,-1,1,0,2,1.0,0.0,0,Dara,1.0,173,False,,,4.4,216616.jpg,1.9,O'Shea,0.2,False,,a,6,90,33,25131,1,27782,4,0.2,7.5,O'Shea,1477,0,3,2,36,1,0,0,3,0,0,1,252,369.2,108.3,110.0,59.0,16,0.35,0.49,0.84,29.27,66,21,200,46,173,31,145,33,,,,,,,0.02,0.0,0.03,0.05,1.78,2.19,523,108,150,51,307,109,308,119,0.97,0.12,21,22,23,DEF,Burnley
0.0,0.0,220598,0,0,-1,1,0,4,0.0,0.0,0,Michael,0.0,174,False,Joined Millwall until the end of the season,2024-01-29T08:15:40.420658Z,4.9,220598.jpg,1.0,Obafemi,0.0,False,,u,6,90,2,3475,0,6530,2,0.0,0.4,Obafemi,19,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.6,17.0,1.7,0,0.11,0.01,0.12,0.03,758,92,457,58,378,56,470,57,,,,,,,0.52,0.0,0.05,0.57,0.14,0.0,242,51,689,74,474,60,573,79,0.0,0.0,21,22,23,FWD,Burnley
0.0,0.0,220037,0,0,0,0,0,1,0.0,0.0,0,Bailey,0.0,175,False,Joined Aarhus on loan,2023-07-26T11:25:50.410533Z,4.0,220037.jpg,0.0,Peacock-Farrell,0.0,False,,u,6,90,0,0,0,1042,0,0.0,0.0,Peacock-Farrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,556,65,542,49,510,39,561,65,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,673,46,361,57,568,65,693,80,0.0,0.0,21,22,23,GKP,Burnley
100.0,100.0,192290,0,0,-2,2,0,2,0.5,-0.5,0,Connor,0.5,176,False,,2023-10-21T17:30:07.665681Z,4.3,192290.jpg,0.9,Roberts,0.2,False,,a,6,90,12,14972,0,31122,1,0.1,2.8,Roberts,786,0,1,0,23,0,0,0,2,1,0,0,112,142.8,103.3,8.0,25.3,8,0.00,0.34,0.34,19.54,268,106,208,51,408,145,310,111,,,,,,,0.0,0.0,0.04,0.04,2.24,2.63,597,138,211,64,485,161,353,136,0.92,0.0,21,22,23,DEF,Burnley
,,44683,0,0,-2,2,0,4,0.0,-1.0,0,Jay,0.0,177,False,,,5.3,44683.jpg,2.5,Rodriguez,0.2,False,,a,6,90,33,51353,1,60931,6,0.0,6.2,Rodriguez,695,2,1,1,14,0,0,0,0,0,0,3,98,129.8,50.7,206.0,38.0,7,3.33,0.07,3.40,10.69,286,34,309,42,99,32,229,34,,,,,1.0,,0.43,0.0,0.01,0.44,1.38,1.81,129,37,730,83,235,34,306,48,0.91,0.13,21,22,23,FWD,Burnley
75.0,75.0,103914,0,0,0,0,0,2,0.0,-0.8,0,Charlie,0.0,178,False,Shoulder injury - 75% chance of playing,2024-01-06T22:30:09.694018Z,4.0,103914.jpg,2.1,Taylor,4.6,False,,d,6,90,34,810268,10,436463,77,0.0,8.5,Taylor,1440,1,1,2,28,0,0,0,6,0,0,1,226,274.8,126.9,30.0,43.4,16,0.13,0.55,0.68,26.57,136,51,173,38,320,105,201,55,,,,,,,0.01,0.0,0.03,0.04,1.66,1.75,653,168,342,116,273,89,77,25,1.0,0.12,21,22,23,DEF,Burnley
0.0,0.0,461102,0,0,0,0,0,2,0.0,0.0,0,Bobby,0.0,179,False,Permanent transfer to Coventry,2023-07-24T09:55:44.165399Z,4.0,461102.jpg,0.0,Thomas,0.0,False,,u,6,90,0,0,0,1361,0,0.0,0.0,Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,575,215,561,213,529,200,580,215,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,698,200,384,145,587,212,677,236,0.0,0.0,21,22,23,DEF,Burnley
0.0,0.0,226473,0,0,-1,1,0,3,0.0,0.0,0,Scott,0.0,180,False,Season long loan to Hull,2023-08-21T08:28:24.720790Z,4.9,226473.jpg,0.0,Twine,0.0,False,,u,6,90,0,119,0,2683,0,0.0,0.0,Twine,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,760,323,756,322,753,321,760,323,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,245,156,691,280,760,323,695,277,0.0,0.0,21,22,23,MID,Burnley
,,133085,0,0,-1,1,0,1,0.0,-1.0,0,Lawrence,0.0,181,False,,,3.9,133085.jpg,0.0,Vigouroux,0.3,False,,a,6,90,0,17186,1,15550,4,0.0,0.0,Vigouroux,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,512,41,495,22,460,12,516,41,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,754,72,310,31,524,41,294,42,0.0,0.0,21,22,23,GKP,Burnley
100.0,100.0,441455,0,0,-1,1,0,2,1.0,0.0,0,Victor,1.0,182,False,,2023-08-31T02:00:07.534376Z,4.4,441455.jpg,1.9,da Silva,0.1,False,,a,6,90,28,11563,0,17589,1,0.2,6.4,Vitinho,1225,0,0,2,24,0,0,0,0,0,0,0,136,128.0,81.2,52.0,26.1,14,0.33,0.54,0.87,20.99,288,112,245,72,267,79,301,105,,,,,,,0.02,0.0,0.04,0.06,1.54,1.76,546,117,152,52,308,110,371,143,1.03,0.15,21,22,23,DEF,Burnley
0.0,0.0,120202,0,0,0,0,0,4,0.0,0.0,0,Wout,0.0,183,False,On loan to Hoffenheim,2023-08-10T13:52:51.426276Z,5.5,120202.jpg,0.0,Weghorst,0.0,False,,u,6,90,0,0,0,14944,0,0.0,0.0,Weghorst,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,779,96,779,96,777,96,779,96,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100,30,746,86,779,96,546,75,0.0,0.0,21,22,23,FWD,Burnley
100.0,100.0,511783,0,0,-4,4,0,3,0.0,-1.0,0,Anass,0.0,184,False,,2023-08-12T08:00:06.224285Z,4.6,511783.jpg,0.6,Zaroury,0.0,False,,a,6,90,3,1907,0,12387,0,0.0,0.7,Zaroury,135,0,0,0,4,0,0,0,0,1,0,0,5,3.8,31.6,19.0,4.8,1,0.16,0.09,0.25,3.13,475,214,347,178,366,185,434,198,5.0,,,,,,0.11,0.0,0.06,0.17,2.09,2.67,345,219,642,244,506,238,578,213,0.67,0.0,21,22,23,MID,Burnley
100.0,100.0,520295,0,0,0,0,0,4,0.0,-1.0,0,David Datro,0.0,200,False,,2023-07-11T09:30:03.546600Z,5.0,520295.jpg,0.0,Fofana,0.0,False,,a,6,90,0,366,1,432,0,0.0,0.0,D.D.Fofana,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,773,95,771,95,769,95,773,95,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,209,48,718,80,773,95,702,97,0.0,0.0,21,22,23,FWD,Burnley
,,207189,0,0,-3,3,1,3,0.0,-1.0,0,Sander,0.0,475,False,,,4.7,207189.jpg,2.0,Berge,0.1,False,,a,6,90,41,13267,0,21715,1,0.0,8.7,Berge,1472,1,1,2,34,0,0,0,4,1,0,3,184,242.4,175.3,98.0,51.5,17,1.40,0.46,1.86,32.91,168,70,128,88,188,107,168,87,,,,,,,0.09,0.0,0.03,0.12,2.01,2.08,316,205,650,250,297,125,414,134,1.04,0.12,21,22,23,MID,Burnley
,,492831,0,0,-2,2,1,4,4.5,3.5,0,Zeki,4.5,594,False,,,5.3,492831.jpg,3.1,Amdouni,0.3,False,,a,6,90,63,97674,20,86842,29,0.8,11.9,Amdouni,1452,4,1,5,25,0,0,0,1,0,0,9,192,293.2,194.8,378.0,86.7,20,3.48,0.91,4.39,24.49,124,12,111,13,41,18,70,14,,,,,,,0.22,0.0,0.06,0.28,1.52,1.55,147,38,19,5,142,23,286,45,1.24,0.31,21,22,23,FWD,Burnley
,,432720,0,0,0,0,1,1,1.0,0.0,0,James,1.0,596,False,,,4.5,432720.jpg,2.8,Trafford,1.1,False,,a,6,90,59,94665,3,97009,9,0.2,13.1,Trafford,1890,0,0,2,42,0,0,0,2,0,85,4,423,706.0,0.2,0.0,70.7,21,0.00,0.02,0.02,35.75,2,1,471,8,666,79,104,1,,,,,,,0.0,4.05,0.0,0.0,1.7,2.0,404,22,157,15,172,22,178,26,1.0,0.1,21,22,23,GKP,Burnley
0.0,0.0,83283,0,0,-3,3,0,3,0.0,0.0,0,Nathan,0.0,600,False,Leg injury - Expected back 01 Jul,2024-01-30T14:00:11.447368Z,4.7,83283.jpg,0.9,Redmond,0.0,False,,i,6,90,11,786,0,4729,0,0.0,2.3,Redmond,132,0,0,0,5,0,0,0,1,0,0,0,38,23.8,52.5,18.0,9.4,0,0.03,0.37,0.40,3.92,427,190,305,166,371,187,404,187,,,,,,,0.02,0.0,0.25,0.27,2.67,3.41,304,195,646,246,489,230,611,232,0.0,0.0,21,22,23,MID,Burnley
0.0,0.0,487702,0,0,-2,2,0,3,0.0,0.0,0,Luca,0.0,605,False,Knee injury - Expected back 19 May,2023-12-06T07:30:10.569273Z,4.8,487702.jpg,2.7,Koleosho,0.1,False,,i,6,90,40,42706,0,42693,1,0.0,8.3,Koleosho,972,1,2,3,23,0,0,0,0,0,0,0,80,86.8,147.9,213.0,44.5,13,1.96,1.07,3.03,15.55,328,141,151,99,93,61,195,99,,,,,,,0.18,0.0,0.1,0.28,1.44,2.13,296,191,672,267,195,83,502,171,1.2,0.28,21,22,23,MID,Burnley
,,179458,0,0,-1,1,0,3,0.5,-0.5,0,Jacob,0.5,608,False,,,4.9,179458.jpg,1.8,Bruun Larsen,0.0,False,,a,6,90,31,3116,0,3692,1,0.1,6.3,Bruun Larsen,452,2,0,1,10,0,0,0,0,0,0,0,89,106.2,162.5,143.0,40.7,4,1.28,0.34,1.62,7.45,308,128,137,93,141,88,212,105,1.0,,1.0,,,,0.25,0.0,0.07,0.32,1.48,1.99,230,148,256,121,330,143,609,230,0.8,0.2,21,22,23,MID,Burnley
0.0,0.0,461567,0,0,0,0,0,2,0.0,0.0,0,Owen,0.0,622,False,Season-long loan to Barnsley,2023-09-01T21:48:22.703139Z,4.0,461567.jpg,0.0,Dodgson,0.0,False,,u,6,90,0,467,0,3535,1,0.0,0.0,Dodgson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,577,217,563,215,531,202,582,217,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,700,202,386,147,589,214,585,212,0.0,0.0,21,22,23,DEF,Burnley
,,550839,0,0,0,0,1,3,1.5,0.5,0,Wilson,1.5,660,False,,,5.0,550839.jpg,3.3,Odobert,0.1,False,,a,6,90,40,12890,1,8390,3,0.3,8.0,Odobert,649,3,1,2,14,0,0,0,2,0,0,3,145,196.4,140.1,154.0,48.9,8,0.68,1.32,2.00,14.04,217,88,159,103,137,85,178,90,,,,,,,0.09,0.0,0.18,0.27,1.95,1.94,211,133,128,53,121,59,478,162,1.11,0.28,21,22,23,MID,Burnley
75.0,75.0,247245,0,0,0,0,0,2,0.0,-0.8,0,Hannes,0.0,674,False,Knock - 75% chance of playing,2024-01-22T01:00:10.959578Z,4.0,247245.jpg,0.7,Delcroix,0.0,False,,d,6,90,6,4982,0,4047,1,0.0,1.5,Delcroix,382,0,0,0,16,0,0,0,1,0,0,0,64,63.2,37.8,42.0,14.3,3,0.35,0.06,0.41,9.71,363,137,336,115,286,89,362,131,,,,,,,0.08,0.0,0.01,0.09,2.29,3.77,684,191,371,137,499,165,525,197,0.71,0.0,21,22,23,DEF,Burnley
